city,state,population,latitude,longitude,town_matches,state_matches,city_matches,country_matches
Macon,GA,157346,32.838,-83.628,4,0,1,0
Corona,CA,157136,33.876,-117.567,2,0,0,0
Kansas City,KS,156607,39.116,-94.627,1,0,0,0
Lakewood,CO,155984,39.705,-105.081,6,0,0,0
Springfield,MA,155929,42.101,-72.589,21,0,1,0
Sunnyvale,CA,155805,37.369,-122.037,1,0,0,0
Jackson,MS,153701,32.3,-90.186,18,0,0,0
Hollywood,FL,153067,26.011,-80.149,2,0,0,0
Murfreesboro,TN,152769,35.846,-86.392,2,0,0,0
Pasadena,TX,151950,29.691,-95.209,1,0,0,0
Bellevue,WA,151854,47.617,-122.202,10,0,0,0
Pomona,CA,151713,34.059,-117.752,2,0,0,0
Joliet,IL,150362,41.525,-88.082,1,0,0,0
Charleston,SC,150227,32.776,-79.931,9,0,0,0
Mesquite,TX,150108,32.767,-96.599,1,0,0,0
Rockford,IL,148655,42.271,-89.095,7,0,0,0
Bridgeport,CT,148654,41.198,-73.194,10,0,0,0
Syracuse,NY,148620,43.047,-76.149,6,0,0,0
Savannah,GA,147780,32.079,-81.091,5,0,0,0
Roseville,CA,147773,38.752,-121.288,5,0,0,0
Fullerton,CA,143617,33.87,-117.924,2,0,0,0
Surprise,AZ,143148,33.63,-112.377,1,0,0,0
Thornton,CO,141867,39.871,-104.972,5,0,1,0
Olathe,KS,141290,38.882,-94.82,1,0,0,0
Gainesville,FL,141085,29.652,-82.325,5,0,0,0
Orange,CA,139911,33.788,-117.853,8,0,2,0
Denton,TX,139869,33.215,-97.132,6,0,0,0
Warren,MI,139387,42.492,-83.028,13,0,0,0
Pasadena,CA,138699,34.148,-118.143,1,0,0,0
Waco,TX,138486,31.557,-97.132,4,0,0,0
Cedar Rapids,IA,137710,41.978,-91.664,1,0,0,0
Dayton,OH,137644,39.758,-84.191,14,0,0,0
Elizabeth,NJ,137298,40.665,-74.215,7,0,0,0
Hampton,VA,137148,37.026,-76.344,13,0,0,0
Columbia,SC,136632,34.001,-81.034,13,0,1,1
Kent,WA,136588,47.381,-122.231,3,0,1,0
Stamford,CT,135470,41.124,-73.567,4,0,0,0
Lakewood,NJ,135158,40.076,-74.199,6,0,0,0
Miramar,FL,134721,25.987,-80.238,0,0,1,0
New Haven,CT,134023,41.313,-72.931,7,0,0,0
Carrollton,TX,133434,32.954,-96.89,7,0,0,0
Midland,TX,132524,31.998,-102.074,8,0,1,0
Norman,OK,128026,35.221,-97.443,3,0,0,0
Santa Clara,CA,127647,37.354,-121.954,3,0,1,0
Athens,GA,127315,33.958,-83.375,13,0,1,0
Topeka,KS,126587,39.05,-95.677,2,0,0,0
Columbia,MO,126254,38.952,-92.329,13,0,1,1
Fargo,ND,125990,46.874,-96.788,3,0,0,0
Allentown,PA,125845,40.602,-75.472,2,0,0,0
Concord,CA,125410,37.977,-122.034,10,0,0,0
Abilene,TX,125182,32.449,-99.733,1,0,0,0
Berkeley,CA,124321,37.871,-122.268,6,0,0,0
Ann Arbor,MI,123851,42.281,-83.748,1,0,0,0
Independence,MO,123011,39.092,-94.416,12,0,0,0
Rochester,MN,121395,44.023,-92.463,12,0,1,0
Lafayette,LA,121374,30.223,-92.02,12,0,0,0
Hartford,CT,121054,41.761,-72.689,12,0,1,0
Clovis,CA,120124,36.825,-119.7,1,0,0,0
Fairfield,CA,119881,38.249,-122.04,17,0,0,0
Cambridge,MA,118403,42.376,-71.117,14,0,3,0
Meridian,ID,117635,43.605,-116.392,5,0,0,0
Evansville,IN,117298,37.97,-87.574,4,0,0,0
Clearwater,FL,117292,27.966,-82.8,3,0,0,0
Billings,MT,117116,45.783,-108.507,2,0,0,0
Richmond,CA,116448,37.936,-122.348,17,0,5,0
Westminster,CO,116317,39.835,-105.034,6,0,1,0
Manchester,NH,115644,42.991,-71.463,19,0,1,0
Lowell,MA,115554,42.645,-71.313,10,0,0,0
Wilmington,NC,115451,34.235,-77.949,6,0,1,0
Antioch,CA,115291,38.005,-121.806,2,0,0,0
Beaumont,TX,115282,30.082,-94.098,2,0,3,0
Elgin,IL,114797,42.037,-88.284,11,0,1,0
Carlsbad,CA,114746,33.158,-117.351,1,0,0,0
Odessa,TX,114428,31.848,-102.369,5,0,0,0
Waterbury,CT,114403,41.554,-73.043,2,0,0,0
Springfield,IL,114394,39.801,-89.655,21,0,1,0
Downey,CA,114355,33.94,-118.133,1,0,0,0
Gresham,OR,114247,45.498,-122.431,2,0,0,0
Peoria,IL,113150,40.693,-89.591,2,0,0,0
Lansing,MI,112644,42.734,-84.552,6,0,0,0
Lakeland,FL,112641,28.045,-81.956,3,0,0,0
Lewisville,TX,111822,33.046,-96.994,6,0,0,0
Ventura,CA,110763,34.281,-119.301,1,0,0,0
Everett,WA,110629,47.979,-122.202,2,0,0,0
Dearborn,MI,109976,42.322,-83.176,1,0,0,0
Santa Maria,CA,109707,34.953,-120.436,0,0,10,0
Greeley,CO,108795,40.425,-104.694,2,0,0,0
Sparks,NV,108445,39.535,-119.753,2,0,0,0
Boulder,CO,108250,40.018,-105.278,2,0,0,0
Inglewood,CA,107762,33.962,-118.352,1,0,0,0
Edison,NJ,107588,40.512,-74.387,3,0,0,0
South Fulton,GA,107436,33.657,-84.573,1,0,0,0
Burbank,CA,107337,34.182,-118.31,3,0,0,0
Hillsboro,OR,106447,45.523,-122.99,17,0,0,0
Tyler,TX,105995,32.351,-95.301,1,0,0,0
Davie,FL,105691,26.073,-80.232,2,0,0,0
San Mateo,CA,105661,37.564,-122.324,0,0,2,0
Brockton,MA,105643,42.083,-71.02,0,0,1,0
Concord,NC,105240,35.411,-80.581,10,0,0,0
Allen,TX,104627,33.103,-96.67,5,0,2,0
Woodbridge,NJ,103639,40.564,-74.301,1,0,0,0
South Bend,IN,103453,41.676,-86.252,2,0,0,0
Norwalk,CA,102773,33.902,-118.083,4,0,0,0
Menifee,CA,102527,33.685,-117.189,1,0,0,0
Davenport,IA,101724,41.522,-90.576,5,0,0,0
Quincy,MA,101636,42.252,-71.004,5,0,0,0
Chico,CA,101475,39.728,-121.839,1,0,0,0
Lynn,MA,101253,42.464,-70.951,5,0,0,0
New Bedford,MA,101079,41.635,-70.926,1,0,0,0
Clinton,MI,100513,42.591,-82.936,24,0,0,0
Edinburg,TX,100243,26.301,-98.162,4,0,0,0
Roanoke,VA,100011,37.272,-79.939,4,0,0,0
Hesperia,CA,99818,34.422,-117.302,1,0,0,0
Carmel,IN,99757,39.978,-86.127,1,0,0,0
Albany,NY,99224,42.653,-73.758,15,0,1,0
Canton,MI,98659,42.307,-83.487,16,0,0,0
Vista,CA,98381,33.202,-117.244,1,0,0,0
Portsmouth,VA,97915,36.835,-76.299,5,0,1,0
Beaverton,OR,97494,45.487,-122.804,2,0,0,0
Sandy,UT,96904,40.573,-111.853,1,0,0,0
Compton,CA,95740,33.896,-118.22,1,0,0,0
Carson,CA,95558,33.832,-118.278,2,0,0,0
