name,phoneme,starter
Bee,0336,
Beech,0311,
Beech Grove,0337,
Beecher,0338,
Beechwood,0339,
Bel Air,0340,
Bel Aire,0340,
Belden,0341,
Belfast,0342,
Belfry,0343,
Belgium,0344,
Belgrade,0345,
Belknap,0346,
Bell,0347,
Bell Center,0348,
Bell City,0349,
Bella Vista,0350,
Bellaire,0351,2
Belle,0347,
Belle Center,0348,
Belle Haven,0352,
Belle Mead,0353,
Belle Meade,0353,
Belle Plaine,0354,
Bellefonte,0355,
Bellemont,0356,
Belleview,0357,
Belleville,0358,2
Bellevue,0359,3
Bellewood,0360,
Bellflower,0361,
Bellingham,0362,2
Bellmawr,0363,
Bellmont,0364,
Bellmore,0363,
Bells,0366,
Bellview,0367,
Bellville,0368,
Bellvue,0367,
Bellwood,0369,
Belmar,0370,
Belmont,0371,2
Belmore,0363,
Belo,0365,
Beloit,0372,
Belpre,0373,
Belton,0374,
Belvedere,0375,
Belvidere,0376,
Belview,0367,
Belville,0368,
Belwood,0360,
Ben Avon,0377,
Ben Lomond,0378,
Bend,0379,
Benedict,0380,
Bengal,0381,
Benjamin,0382,
Bennett,0383,
Bennett Springs,0384,
Bennettsville,0385,
Bennington,0386,
Benson,0387,
Bentley,0388,
Bentleyville,0389,
Benton,0390,
Benton City,0391,
Bentonville,0392,
Berea,0393,
Bergen,0394,
Berkeley,0395,2
Berkley,0395,
Berkshire,0396,
Berlin,0397,4
Bern,0398,
Bernardo,0399,
Berne,0398,
Bernice,0400,
Bernie,0401,
Berry,0276,
Berryville,0402,
Bertha,0403,
Bertram,0404,
Bertrand,0405,
Berwick,0406,
Berwyn,0407,
Beryl,0408,
Bessemer,0409,
Bethany,0411,
Bethel,0410,
Bethesda,0412,
Bethlehem,0413,4
Bethune,0414,
Beulah,0415,
Beverley Beach,0416,
Beverly,0417,2
Beverly Beach,0416,
Beverly Hills,0418,
Bexley,0419,
Bicknell,0421,
Bidwell,0422,
Big Bend,0423,
Big Creek,0424,
Big Falls,0425,
Big Flats,0426,
Big Lake,0427,
Big Piney,0428,
Big Sandy,0429,
Big Spring,0430,
Big Springs,0431,
Bigelow,0432,
Bigfork,0433,
Biggs,0434,
Billings,0435,
Bingham,0436,
Birch Creek,0437,
Birchwood,0438,
Birdseye,0439,
Birmingham,0440,2
Birney,0401,
Biron,0441,
Bisbee,0442,
Bishop,0443,
Bishopville,0444,
Bismarck,0445,
Bison,0446,
Bixby,0447,
Black,0448,
Black Brook,0449,
Black Creek,0450,
Black Diamond,0451,
Black Hawk,0452,
Black Rock,0453,
Black Wolf,0454,
Blackburn,0455,
Blackfoot,0456,
Blackhawk,0457,
Blacksburg,0458,
Blackstone,0459,
Blacksville,0460,
Blackwater,0461,
Blackwell,0462,
Bladensburg,0463,
Blain,0464,
Blaine,0464,2
Blair,0465,
Blairstown,0466,
Blairsville,0467,
Blakeley,0468,
Blakely,0468,
Blakeslee,0469,
Blanchard,0470,
Blanco,0471,
Bland,0472,
Blenheim,0473,
Blessing,0474,
Bliss,0475,
Blitchton,0476,
Blodgett,0477,
Bloom,0478,
Bloomfield,0479,
Blooming Grove,0480,
Bloomingburg,0481,
Bloomingdale,0482,2
Bloomington,0483,3
Bloomville,0484,
Blountsville,0485,
Blue,0486,
Blue Ball,0487,
Blue Eye,0488,
Blue Grass,0489,
Blue Hill,0490,
Blue Jay,0491,
Blue Mound,0492,
Blue Mountain,0493,
Blue Ridge,0494,
Blue River,0495,
Blue Springs,0496,
Bluefield,0497,
Bluewater,0498,
Bluff City,0499,
Bluffton,0500,2
Blum,0478,
Blythe,0501,
Boardman,0502,
Boaz,0503,
Bobtown,0504,
Bogart,0505,
Bogota,0506,
Bogue,0507,
Bogue Chitto,0508,
Bohemia,0509,
Boiling Springs,0510,
Bois d'Arc,0511,
Boise,0512,
Boise City,0512,
Boles,0513,
Boling,0514,
Bolivar,0515,
Bolivia,0516,
Bolling,0514,
Bolton,0517,
Bon Air,0518,
Bonanza,0519,
Bond,0520,
Bondurant,0521,
Bone,0522,
Bonita,0523,
Bonney,0524,
Bonnie,0524,
Bono,0525,
Boon,0526,
Boone,0526,2
Booneville,0527,
Boonville,0528,
Bordeaux,0529,
Borden,0530,
Boring,0531,
Boston,0532,
Boswell,0533,
Boulder,0534,
Bourbon,0535,
Bovina,0536,
Bow,0537,
Bowdon,0538,
Bowen,0539,
Bowers,0540,
Bowersville,0541,
Bowie,0542,
Bowler,0543,
Bowles,0513,
Bowling Green,0544,2
Bowman,0545,
Bowmansville,0546,
Bowne,0522,
Box Elder,0547,
Box Springs,0548,
Boyce,0549,
Boyd,0550,
Boyds,0551,
Boykin,0552,
Boylston,0553,
Boynton,0554,
Braddock,0555,
Bradford,0556,
Bradley,0557,
Bradshaw,0558,
Brady,0559,
Brainard,0560,
Brainerd,0560,
Braintree,0561,
Branch,0562,
Branchville,0563,
Brandon,0564,
Brandonville,0565,
Brandt,0566,
Brandywine,0567,
Branford,0568,
Branson,0569,
Brant,0566,
Brashear,0570,
Brayton,0571,
Brazeau,0572,
Brazil,0573,
Breckenridge,0574,
Breda,0575,
Bremen,0576,
Brent,0577,
Brentwood,0578,4
Brewster,0580,2
Brewton,0581,
Briar,0582,
Briarcliff,0583,
Briarwood,0584,
Brice,0585,
Briceville,0586,
Bridge City,0587,
Bridge Creek,0588,
Bridgeport,0589,
Bridger,0590,
Bridgeton,0591,
Bridgetown,0592,
Bridgeville,0593,
Bridgewater,0594,2
Brier,0582,
Briggs,0595,
Briggsville,0596,
Brighton,0597,2
Brightwood,0598,
Brilliant,0599,
Brimfield,0600,
Brimson,0601,
Brisbane,0602,
Bristol,0603,4
Bristow,0604,
Britain,0605,
Britt,0606,
Britton,0605,
Broad Run,0607,
Broadlands,0608,
Broadview,0609,
Broadway,0610,
Brockton,0611,
Brockway,0612,
Brocton,0611,
Brodhead,0613,
Bromley,0614,
Bronson,0615,
Brook,0616,
Brookdale,0617,
Brooke,0616,
Brookfield,0618,2
Brookhaven,0619,2
Brookline,0620,
Brooklyn,0621,2
Brooklyn Heights,0622,
Brooklyn Park,0623,
Brooks,0624,
Brookside,0625,
Brookston,0626,
Brooksville,0627,
Brookville,0628,
Broughton,0629,
Brown,0630,
Brownfield,0631,
Browning,0632,
Brownington,0633,
Browns Valley,0634,
Brownsboro,0635,
Brownstown,0636,
Brownsville,0637,2
Browntown,0638,
Brownville,0639,
Broxton,0640,
Bruce,0641,
Bruceton,0642,
Brule,0643,
Brundage,0644,
Brundidge,0644,
Bruno,0645,
Brunswick,0646,4
Brush Creek,0647,
Brushy Creek,0648,
Brussels,0649,
Brutus,0650,
Bryan,0651,
Bryant,0652,
Bryantsburg,0653,
Bryce,0585,
Bryceville,0586,
Buchanan,0654,
Buckeye,0655,
Buckhead,0656,
Buckhorn,0657,
Buckingham,0658,
Buckland,0659,
Buckley,0660,
Buckner,0661,
Bucksport,0662,
Buda,0663,
Budapest,0664,
Buena,0665,
Buena Vista,0666,
Buffalo,0667,
Buffalo City,0668,
Buffalo Gap,0669,
Buffalo Grove,0670,
Buffalo Springs,0671,
Buford,0672,
Bugtussle,0673,
Buhl,0674,
Bula,0415,
Bull Creek,0675,
Bull Run,0676,
Bullard,0677,
Bunker Hill,0678,
Burbank,0679,
Burdett,0680,
Burgess,0681,
Burke,0682,
Burkeville,0683,
Burleigh,0684,
Burleson,0685,
Burley,0686,
Burlingame,0687,
Burlington,0688,6
Burlison,0685,
Burnett,0689,
Burney,0401,
Burnham,0690,
Burns,0691,
Burnside,0692,
Burnsville,0693,
Burr,0694,
Burr Oak,0695,
Burt,0696,
Burton,0697,
Bush,0698,
Bushnell,0699,
Butler,0700,2
Butlerville,0701,
Butte,0702,
Butte City,0703,
Butterfield,0704,
Butterworth,0705,
Buxton,0706,
Byars,0707,
Byers,0707,
Bynum,0708,
Byram,0709,
Byron,0441,
Cabot,0710,
Cache,0711,
Caddo,0712,
Caddoa,0712,
Cadiz,0713,
Caile,0714,
Cairo,0715,
Calais,0716,
Calamus,0718,
Caldwell,0719,2
Cale,0714,
Caledonia,0720,
Calera,0721,
Calhoun,0722,
Caliente,0723,
California,0724,
Callahan,0725,
Callao,0726,
Callaway,0727,
Callender,0728,
Calumet,0729,
Calvary,0730,
Calvert,0731,
Calverton,0732,
Calvin,0733,
Camargo,0734,
Camas,0735,
Cambria,0736,
Cambridge,0737,2
Camden,0738,4
Cameron,0739,
Cameron Park,0740,
Camp Hill,0741,
Camp Springs,0742,
Camp Verde,0743,
Campbell,0744,
Campbellsburg,0745,
Campbellsport,0746,
Campbellsville,0747,
Campbellton,0748,
Campo,0749,
Campton,0750,
Canaan,0751,
Canada,0752,
Canadian,0753,
Canadice,0754,
Canadys,0754,
Canandaigua,0755,
Canby,0756,
Candelaria,0757,
Candor,0758,
Caney,0759,
Cannelton,0760,
Cannonsburg,0761,
Canova,0762,
Canterbury,0763,
Canton,0764,4
Canyon,0765,
Canyon Creek,0766,
Canyon Lake,0767,2
Capitola,0768,
Capps,0769,
Capron,0770,
Caps,0769,
Capulin,0771,
Carbon,0772,
Carbon Hill,0773,
Carbondale,0774,
Cardiff,0775,
Cardwell,0776,
Carey,0777,
Caribou,0778,
Carleton,0779,
Carlin,0780,
Carlisle,0781,
Carlsbad,0782,2
Carlton,0779,
Carlyle,0781,
Carmel,0783,
Carmen,0784,
Carmine,0784,
Carnation,0785,
Carnegie,0786,
Carnes,0787,
Carney,0788,
Carolina,0789,
Caroline,0790,
Carpenter,0791,
Carpenter's Station,0792,
Carpentersville,0793,
Carrick,0794,
Carroll,0795,
Carrollton,0796,2
Carrolltown,0797,
Carrolltowne,0797,
Carrsville,0798,
Carson,0799,
Carson City,0800,
Carsonville,0801,
Cartago,0803,
Carter,0804,
Cartersville,0805,
Carterville,0806,
Carthage,0807,
Cartwright,0808,
Carver,0809,
Cary,0777,
Caryville,0810,
Casanova,0811,
Casas Adobes,0812,
Cascade,0813,
Casco,0814,
Casey,0815,
Caseyville,0816,
Cash,0711,
Caspar,0817,
Casper,0817,
Cassadaga,0818,
Cassel,0819,
Casselberry,0820,
Cassville,0821,
Castalia,0822,
Castine,0823,
Castle,0819,
Castle Hill,0824,
Castle Rock,0825,
Castleberry,0820,
Castlewood,0826,
Castor,0827,
Castroville,0828,
Casville,0821,
Caswell,0829,
Catawba,0830,
Catharine,0831,
Catherine,0832,
Cato,0833,
Cave City,0834,
Cave Creek,0835,
Cave Spring,0836,
Cavendish,0837,
Cayce,0838,
Caylor,0839,
Cayuga,0840,
Cazadero,0841,
Cazenovia,0842,
Cecil,0843,
Cecilia,0844,
Cedar,0845,
Cedar Bluff,0846,
Cedar City,0847,
Cedar Creek,0848,
Cedar Crest,0849,
Cedar Grove,0850,
Cedar Hill,0851,
Cedar Hills,0852,
Cedar Lake,0853,
Cedar Point,0854,
Cedar Rapids,0855,
Cedar Springs,0856,
Cedar Valley,0857,
Cedarville,0858,
Celina,0859,
Cementon,0860,
Centennial,0861,
Center,0862,
Center Grove,0863,
Center Point,0864,
Center Valley,0865,
Centerfield,0866,
Centerport,0867,
Centerton,0868,
Centertown,0869,
Centerville,0870,
Central,0871,
Central City,0872,
Central High,0873,
Central Point,0874,
Centralia,0875,3
Centre,0862,
Centre Grove,0863,
Centreville,0876,
Century,0877,
Ceres,0878,
Ceresco,0879,
Cerro Gordo,0880,
Chadwick,0881,
Chalco,0882,
Chalfant,0883,
Chalybeate,0884,
Chalybeate Springs,0885,
Chama,0886,
Champion,0887,
Chance,0888,
Chancellor,0889,
Chandler,0890,
Chapel Hill,0891,
Chapin,0892,
Chapman,0893,
Chappel,0894,
Chappell,0894,
Chappell Hill,0891,
Chariton,0895,
Charleroi,0896,
Charles City,0897,
Charleston,0898,2
Charlestown,0899,
Charlo,0900,
Charloe,0900,
Charlotte,0901,2
Charlottesville,0902,
Charlton,0903,
Charter Oak,0904,
Chase,0905,
Chatfield,0906,
Chatham,0907,
Chatom,0907,
Chatsworth,0908,
Chattanooga,0909,
Chattaroy,0910,
Chauncey,0911,
Chautauqua,0912,
Chelmsford,0913,
Chelsea,0914,
Cheltenham,0915,
Chenango,0916,
Cheney,0917,
Cheneyville,0918,
Chenoweth,0919,
Cheraw,0920,
Cheriton,0895,
Cherokee,0921,
Cherry,0922,
Cherry Creek,0923,
Cherry Grove,0924,
Cherry Hill,0925,
Cherry Tree,0926,
Cherry Valley,0927,
Cherryvale,0928,
Cherryville,0929,
Chesapeake,0930,
Cheshire,0931,2
Chester,0932,2
Chesterfield,0933,2
Chestertown,0934,
Chesterville,0935,
Cheyenne,0936,
Chichester,0937,
Chickasaw,0938,
Chico,0939,
Chicopee,0940,
Chilhowee,0942,
Chilhowie,0942,
Chili,0941,
Chillicothe,0943,
Chilton,0944,
China,0945,
China Grove,0946,
Chinook,0947,
Chippewa Lake,0948,
Chisholm,0949,
Chloride,0950,
Choctaw,0951,
Chrisman,0952,
Christiana,0953,
Christiansburg,0954,
Christine,0955,
Chula,0956,
Chula Vista,0957,
Church Hill,0958,
Churchill,0959,
Churchville,0960,
Cicero,0961,2
Cimarron,0962,
Cincinnati,0963,
Circle,0964,
Circleville,0965,
Cisco,0966,
Citrus Park,0967,
Claiborne,0968,
Clare,0969,
Claremont,0970,2
Clarence,0971,
Clarendon,0972,
Claridon,0973,
Clarion,0974,
Clark,0975,
Clarkdale,0976,
Clarks,0977,
Clarks Hill,0978,
Clarksburg,0979,
Clarksdale,0980,
Clarkson,0981,
Clarkston,0982,
Clarksville,0983,
Clarkton,0984,
Clarno,0985,
Claryville,0986,
Clawson,0987,
Claxton,0988,
Clay,0989,
Clay Center,0990,
Clay City,0991,
Claypool,0992,
Claysville,0993,
Clayton,0994,2
Clayville,0995,
Clear Creek,0996,
Clear Lake,0997,
Clearbrook,0998,
Clearfield,0999,
Clearmont,1000,
Clearview,1001,
Clearwater,1002,
Cleghorn,1003,
Clem,1004,
Clements,1005,
Clemmons,1006,
Clemons,1006,
Clermont,0970,
Cleveland,1007,2
Clifford,1008,
Cliffside,1009,
Clifton,1010,2
Climax,1011,
Clinton,1012,4
Clintondale,1013,
Clintonville,1014,
Clio,1015,
Clover,1016,
Clover Creek,1017,
Cloverdale,1018,
Cloverland,1019,
Clovis,1020,2
Clyde,1021,
Clymer,1022,
Coahoma,1023,
Coal City,1024,
Coal Creek,1025,
Coaldale,1026,
Coalgate,1027,
Coalmont,1028,
Coalton,1029,
Coalville,1030,
Coalwood,1031,
Coatesville,1032,
Coats,1033,
Cobb,1034,
Cobden,1035,
Coburg,1036,
Coburn,1037,
Cochran,1038,
Cochrane,1038,
Cody,1039,
Coeburn,1037,
Coffee Creek,1040,
Coffeeville,1041,
Coffeyville,1041,
Coffman,1042,
Cohasset,1043,
Coin,1044,
Cokesbury,1045,
Cokeville,1046,
Colbert,1047,
Colburn,1048,
Colby,1049,
Colchester,1050,2
Cold Spring,1051,
Cold Springs,1052,
Coldspring,1053,
Coldstream,1054,
Coldwater,1055,
Colebrook,1056,
Coleman,1057,
Colerain,1058,
Coleraine,1058,
Coleridge,1059,
Colesville,1060,
Colfax,1061,
Colgate,1027,
College Park,1062,2
College Station,1063,
Collierville,1064,
Collins,1065,
Collinston,1066,
Collinsville,1067,
Colman,1057,
Cologne,1068,
Coloma,1069,
Colon,1072,
Colonial Heights,1073,
Colony,1074,
Colorado,1075,
Colorado City,1076,
Colquitt,1077,
Colton,1029,
Columbia,1070,7
Columbia City,1078,
Columbia Falls,1079,
Columbiana,1080,
Columbus,1081,5
Comanche,1082,
Combes,1083,
Combs,1083,
Comfort,1084,
Commerce,1085,2
Como,1086,
Compton,1087,
Comstock,1088,
Concepcion,1089,
Concord,1090,4
Concordia,1091,
Condon,1092,
Cone,1093,
Conesville,1094,
Connellsville,1095,
Connelsville,1095,
Conover,1096,
Conrad,1097,
Converse,1098,
Conway,1099,2
Cook,1100,
Cooksville,1101,
Cool,1102,
Coolidge,1103,
Coon Rapids,1104,2
Cooper,1105,
Cooperstown,1106,
Cope,1107,
Copeland,1108,
Copenhagen,1109,
Copper Hill,1110,
Coram,1111,
Corbin,1112,
Corcoran,1113,
Cordova,1115,2
Corinne,1116,
Corinth,1117,
Corley,1118,
Cornelia,1119,
Cornelius,1120,
Cornell,1121,
Cornettsville,1122,
Corning,1123,
Cornish,1124,
Cornville,1125,
Cornwall,1126,
Corona,1127,
Corry,1128,
Corsica,1129,
Cortez,1130,
Cortland,1131,
Corunna,1132,
Corvallis,1133,
Cory,1128,
Corydon,1134,
Cosby,1135,
Cottage Grove,1136,2
Cottageville,1137,
Cotter,1138,
Cotton,1139,
Cottondale,1140,
Cottonwood,1141,
Coulter,1142,
Coulterville,1143,
Country Club,1144,
Country Club Hills,1145,
Countryside,1146,
Courtland,1147,
Cove,1148,
Coventry,1149,2
Covert,1150,
Covington,1151,
Cowan,1152,
Cowen,1152,
Crab Orchard,1153,
Crabtree,1154,
Crafton,1155,
Craig,1156,
Craigsville,1157,
Cramer,1158,
Crandall,1159,
Crane,1160,
Crawford,1161,
Crawfordsville,1162,
Crawfordville,1163,
Crayne,1160,
Creedmoor,1164,
Creekside,1165,
Creighton,1166,
Crenshaw,1167,
Creola,1168,
Crescent,1169,
Crescent City,1170,
Crescent Springs,1171,
Cresco,1172,
Cresson,1173,
Crestline,1174,
Creston,1175,
Crestview,1176,
Crestwood,1177,
Creswell,1178,
Crete,1179,
Creve Coeur,1180,
Cripple Creek,1181,
Crisman,0952,
Crisp,1182,
Crocker,1183,
Crockett,1184,
Crofton,1185,
Cromwell,1186,
Crooked Creek,1187,
Crookston,1188,
Crosby,1189,
Cross Creek,1190,
Cross Keys,1191,
Cross Plains,1192,
Cross Roads,1193,
Crossville,1194,
Crowder,1195,
Crowley,1196,
Crown,1197,
Crown Point,1198,
Croydon,1199,
Crozier,1200,
Crum,1201,
Crump,1202,
Crumpler,1203,
Crystal,1204,
Crystal Beach,1205,
Crystal City,1206,
Crystal Lake,1207,
Crystal Lakes,1208,
Crystal Springs,1209,
Cuba,1210,
Cudahy,1211,
Culbertson,1212,
Culleoka,1213,
Culloden,1214,
Culver,1215,
Cumberland,1216,2
Cumming,1217,
Cunningham,1218,
Curlew,1219,
Curran,1220,
Currie,1221,
Curtis,1222,
Curtisville,1223,
Cushing,1224,
Cushman,1225,
Cusseta,1226,
Custer,1227,
Cutler,1228,
Cyclone,1229,
Cynthiana,1230,
Cypress,1231,2
Dadeville,1232,
Dahlgren,1233,
Dahlonega,1234,
Dairy,1235,
Daisy,1236,
Dakota,1237,
Dakota City,1238,
Dale,1239,
Daleville,1240,
Dallas,1241,2
Dalton,1242,
Dalzell,1243,
Damascus,1244,
Dana,1245,
Danbury,1246,
Danby,1247,
Daniel,1248,
Daniels,1249,
Danielsville,1250,
Dansville,1251,
Dante,1252,
Danube,1253,
Danvers,1254,
Danville,1255,5
Daphne,1256,
Darien,1257,2
Darlington,1258,2
Darmstadt,1259,
Darwin,1260,
Davenport,1261,
Davey,1262,
David,1263,
Davidson,1264,
Davie,1262,
Davis,1265,
Daviston,1266,
Davy,1262,
Dawn,1267,
Dawson,1268,
Day,1269,
Dayton,1270,
Dayville,1271,
Dazey,1236,
De Graff,1272,
De Kalb,1273,
De Soto,1274,
De Witt,1275,
DeKalb,1273,
DeWitt,1330,
Deadwood,1276,
Deal,1277,
Deale,1277,
Dean,1278,
Dearborn,1279,
Dearing,1280,
Decatur,1281,3
Decaturville,1282,
Decker,1283,
Dedham,1284,
Deep Creek,1285,
Deep River,1286,
Deer Creek,1287,
Deer Lake,1288,
Deer Lodge,1289,
Deer Park,1290,
Deerfield,1291,2
Deering,1280,
Deerwood,1292,
Defiance,1293,
Del City,1294,
Del Rio,1295,2
Delano,1296,
Delaplaine,1297,
Delaplane,1297,
Delaware,1298,2
Delft,1299,
Delhi,1300,
Dell,1301,
Dell City,1294,
Dellwood,1302,
Delmar,1303,
Delmont,1304,
Delphos,1305,
Delta,1306,
Delton,1307,
Deming,1308,
Denham,1309,
Denison,1310,
Denmark,1311,
Denning,1312,
Dennis,1313,2
Dennison,1310,
Dennisville,1314,
Dennysville,1314,
Densmore,1315,
Dent,1316,
Denton,1317,
Denver,1318,2
Depew,1319,
Derby,1320,2
Derry,1235,
Des Arc,1321,
Des Moines,1322,2
Desert Hills,1323,
Deshler,1324,
Detroit,1325,
Devon,1326,
Devore,1327,
Dewey,1328,
Deweyville,1329,
Dexter,1331,
Diamond,1332,
Diamond Lake,1333,
Diamond Springs,1334,
Diana,1335,
Dibble,1336,
Diboll,1336,
Dickens,1337,
Dickinson,1338,
Dickson,1339,
Dighton,1340,
Dillard,1341,
Dilley,1342,
Dillon,1343,
Dillonvale,1344,
Dillsboro,1345,
Dinsmore,1315,
Dinwiddie,1346,
Discovery Bay,1347,
Dix,1348,
Dixie,1349,
Dixon,1339,
Dodge,1351,
Dodge City,1352,
Dodson,1353,
Doe Valley,1354,
Dogtown,1355,
Dolomite,1356,
Dolores,1357,
Dolton,1358,
Donald,1359,
Donaldson,1360,
Doniphan,1361,
Donnellson,1362,
Donnelly,1363,
Donnybrook,1364,
Doolittle,1365,
Dora,1366,
Doran,1367,
Dorchester,1368,
Dorset,1369,
Dorseyville,1370,
Doty,1371,
Dougherty,1372,
Douglas,1373,
Douglassville,1374,
Douglasville,1374,
Dover,1375,4
Downey,1376,
Downieville,1377,
Downing,1378,
Downsville,1379,
Doyle,1380,
