id,name,state,country,level,population,latitude,longitude,wiki
21425,Cumberland,RI,,city-us,36434,41.97,-71.42,10913
21419,Cumberland,MD,,city-us,18736,39.65,-78.76,22773
21420,Cumberland,ME,,city-us,8545,43.79,-70.25,6093
21423,Cumberland,PA,,city-us,7044,39.80,-77.25,232
21424,Cumberland,PA,,city-us,6302,39.89,-79.99,232
21417,Cumberland,IN,,city-us,6182,39.79,-85.94,3485
21418,Cumberland,KY,,city-us,1898,36.98,-82.99,4946
21427,Cumberland,WI,,city-us,821,45.51,-91.97,2412
21426,Cumberland,VA,,city-us,368,37.50,-78.25,275
21421,Cumberland,OH,,city-us,314,39.85,-81.66,3702
21416,Cumberland,IA,,city-us,247,41.27,-94.87,3761
21422,Cumberland,OK,,city-us,0,34.06,-96.60,562
21428,Cumberland,GA,,city-us,0,33.88,-84.46,5033
21429,Cumberland,NJ,,city-us,0,39.37,-74.94,2807
21430,Cumberland,NC,,city-us,0,35.01,-78.97,310
21431,Cumberland,VA,,city-us,0,37.33,-76.74,1182
21432,Cumberland,WA,,city-us,0,47.28,-121.93,1277
