id,name,state,country,level,population,latitude,longitude,wiki
12030,Eureka,CA,,city-us,26489,40.80,-124.16,43102
12041,Eureka,MO,,city-us,12154,38.50,-90.65,7445
12031,Eureka,IL,,city-us,5193,40.72,-89.27,5051
12039,Eureka,MI,,city-us,4417,43.16,-85.25,2045
12051,Eureka,WI,,city-us,1769,45.52,-92.61,2261
12042,Eureka,MT,,city-us,1433,48.88,-115.05,6091
12040,Eureka,MN,,city-us,1375,44.58,-93.22,3475
12048,Eureka,SD,,city-us,810,45.77,-99.62,4251
12050,Eureka,UT,,city-us,658,39.95,-112.12,4514
12037,Eureka,KS,,city-us,628,38.74,-97.42,119
12044,Eureka,ND,,city-us,377,48.33,-101.34,0
12033,Eureka,KS,,city-us,360,37.85,-96.32,545
12052,Eureka,WI,,city-us,348,44.00,-88.84,3882
12045,Eureka,NV,,city-us,340,39.51,-115.96,5490
12049,Eureka,TX,,city-us,321,32.01,-96.30,2418
12038,Eureka,MI,,city-us,233,43.10,-84.51,2556
12043,Eureka,NC,,city-us,209,35.54,-77.88,2880
12047,Eureka,SD,,city-us,177,44.50,-96.83,4251
12034,Eureka,KS,,city-us,90,37.68,-98.30,709
12032,Eureka,KS,,city-us,85,38.48,-98.87,369
12046,Eureka,SD,,city-us,40,43.72,-98.64,4251
12036,Eureka,KS,,city-us,35,38.48,-98.31,5779
12035,Eureka,KS,,city-us,20,39.25,-97.98,5779
12053,Eureka,FL,,city-us,0,29.37,-81.91,386
12054,Eureka,IN,,city-us,0,38.87,-86.56,274
12055,Eureka,IN,,city-us,0,37.88,-87.22,627
12056,Eureka,MO,,city-us,0,37.68,-89.74,244
12057,Eureka,PA,,city-us,0,40.24,-75.19,247
12058,Eureka,TX,,city-us,0,33.35,-95.31,662
12059,Eureka,WA,,city-us,0,46.30,-118.62,252
12060,Eureka,WV,,city-us,0,39.37,-81.28,328
