id,name,state,country,level,population,latitude,longitude,wiki
35538,Burke,VA,,city-us,44191,38.79,-77.27,11371
35540,Burke,WI,,city-us,3265,43.14,-89.28,2349
35539,Burke,VT,,city-us,1642,44.61,-71.93,3889
35537,Burke,TX,,city-us,692,31.23,-94.77,3907
35536,Burke,SD,,city-us,579,43.18,-99.29,3551
35535,Burk,SD,,city-us,365,43.81,-96.83,0
35532,Burke,MN,,city-us,209,43.99,-96.12,2140
35534,Burke,NY,,city-us,159,44.90,-74.17,3911
35533,Burke,ND,,city-us,49,48.24,-102.25,0
35541,Burke,IL,,city-us,0,42.05,-90.04,119
35542,Burke,WA,,city-us,0,47.09,-119.87,245
