id,name,state,county,country,level,population,latitude,longitude,wiki
24852,Lilly,PA,Cambria County,,city-us,872,40.426,-78.620,2497
24846,Lilley,MI,Newaygo County,,city-us,846,43.771,-85.860,1953
24854,Lilly,GA,Dooly County,,city-us,131,32.147,-83.877,2290
24851,Lillie,LA,Union Parish,,city-us,111,32.932,-92.657,2408
24858,Lily,SD,Day County,,city-us,4,45.181,-97.683,4374
24853,Lilly,MO,Clinton County,,city-us,0,39.470,-94.445,222
24855,Lilly,VA,Rockingham County,,city-us,0,38.467,-79.014,243
24859,Lily,WI,Langlade County,,city-us,0,45.307,-88.854,725
24860,Lily,KY,Laurel County,,city-us,0,37.024,-84.075,138
