id,name,state,county,country,level,population,latitude,longitude,wiki
9885,Hainesville,IL,Lake County,,city-us,3528,42.345,-88.068,6614
10384,Haynesville,LA,Claiborne Parish,,city-us,1905,32.962,-93.140,5204
10383,Haynesville,ME,Aroostook County,,city-us,103,45.783,-67.993,2908
10386,Haynesville,TX,Wichita County,,city-us,60,34.091,-98.916,734
9886,Hainesville,NJ,Sussex County,,city-us,0,41.252,-74.803,1473
9887,Hainesville,TX,Wood County,,city-us,0,32.718,-95.364,933
10385,Haynesville,MO,Clinton County,,city-us,0,39.461,-94.316,538
