id,name,state,country,level,population,latitude,longitude,wiki
8880,Scott,PA,,city-us,17405,40.39,-80.08,323
8869,Scott,LA,,city-us,8116,30.24,-92.09,5000
8881,Scott,PA,,city-us,5528,41.02,-76.41,323
8882,Scott,PA,,city-us,4633,41.54,-75.63,323
8885,Scott,WI,,city-us,3651,44.59,-87.89,2459
8864,Scott,IL,,city-us,3298,42.11,-89.11,327
8875,Scott,OH,,city-us,2275,38.98,-83.56,229
8866,Scott,KS,,city-us,2266,37.83,-94.68,281
8883,Scott,PA,,city-us,2167,41.03,-80.22,323
8891,Scott,WI,,city-us,1749,43.59,-88.10,2594
8889,Scott,WI,,city-us,1399,45.16,-89.73,2223
8879,Scott,OH,,city-us,1327,41.30,-83.36,229
8876,Scott,OH,,city-us,1310,38.95,-83.91,229
8874,Scott,NY,,city-us,1069,42.74,-76.24,3824
8863,Scott,IL,,city-us,975,40.09,-88.40,327
8887,Scott,WI,,city-us,875,43.60,-89.17,1968
8868,Scott,KS,,city-us,791,38.33,-94.84,281
8886,Scott,WI,,city-us,591,45.93,-92.09,2092
8888,Scott,WI,,city-us,530,43.25,-90.72,1863
8877,Scott,OH,,city-us,516,40.67,-83.02,229
8884,Scott,PA,,city-us,483,41.95,-75.40,323
8878,Scott,OH,,city-us,237,40.99,-84.58,3222
8870,Scott,MN,,city-us,115,45.54,-96.05,1851
8872,Scott,ND,,city-us,110,45.98,-102.56,123
8890,Scott,WI,,city-us,105,44.12,-90.36,1895
8867,Scott,KS,,city-us,92,39.18,-98.10,281
8871,Scott,MS,,city-us,90,33.59,-91.07,1240
8873,Scott,NE,,city-us,41,42.69,-98.46,198
8862,Scott,AR,,city-us,18,34.70,-92.09,6000
8865,Scott,IN,,city-us,0,41.74,-85.56,406
8892,Scott,GA,,city-us,0,32.55,-82.67,428
8893,Scott,MO,,city-us,0,38.62,-92.28,393
8894,Scott,OK,,city-us,0,35.38,-98.24,229
