id,name,state,county,country,level,population,latitude,longitude,wiki
18885,Prescott,AZ,Yavapai County,,city-us,46833,34.540,-112.469,28177
18883,Prescott,WI,Pierce County,,city-us,4346,44.749,-92.802,6158
18881,Prescott,AR,Nevada County,,city-us,3017,33.803,-93.381,11009
18884,Prescott,WA,Walla Walla County,,city-us,377,46.300,-118.315,3155
18882,Prescott,MI,Ogemaw County,,city-us,223,44.192,-83.931,2884
18880,Prescott,KS,Linn County,,city-us,207,38.064,-94.696,3373
18878,Prescott,IA,Adams County,,city-us,189,41.023,-94.614,2977
18879,Prescott,OR,Columbia County,,city-us,80,46.049,-122.887,3506
