id,name,state,country,level,population,latitude,longitude,wiki
22521,Millersburg,OR,,city-us,3203,44.68,-123.06,4447
22520,Millersburg,OH,,city-us,3165,40.55,-81.92,6561
22522,Millersburg,PA,,city-us,2535,40.54,-76.96,6761
22517,Millersburg,IN,,city-us,953,41.53,-85.69,3867
22518,Millersburg,KY,,city-us,744,38.31,-84.14,5469
22519,Millersburg,MI,,city-us,204,45.33,-84.06,3221
22515,Millersburg,IA,,city-us,138,41.57,-92.16,3977
22516,Millersburg,IL,,city-us,54,41.24,-90.82,216
22523,Millersburg,IN,,city-us,0,40.19,-86.02,204
22524,Millersburg,IN,,city-us,0,38.56,-86.34,252
22525,Millersburg,IN,,city-us,0,38.10,-87.42,434
22526,Millersburg,MN,,city-us,0,44.43,-93.33,472
22527,Millersburg,MO,,city-us,0,38.90,-92.12,847
