id,name,state,county,country,level,population,latitude,longitude,wiki
19070,Harrison,NY,Westchester County,,city-us,28774,40.969,-73.713,21541
19050,Harrison,NJ,Hudson County,,city-us,19212,40.746,-74.156,23431
19047,Harrison,NJ,Gloucester County,,city-us,13841,39.726,-75.205,11537
19041,Harrison,AR,Boone County,,city-us,13195,36.230,-93.108,14542
19073,Harrison,WI,Calumet County,,city-us,13179,44.192,-88.294,532
19049,Harrison,TN,Hamilton County,,city-us,8383,35.114,-85.138,3817
19044,Harrison,ME,Cumberland County,,city-us,2479,44.103,-70.652,7177
19042,Harrison,MI,Clare County,,city-us,2157,44.019,-84.799,4814
19051,Harrison,IL,Jackson County,,city-us,872,37.797,-89.337,131
19056,Harrison,WI,Lincoln County,,city-us,833,45.477,-89.507,2343
19040,Harrison,WI,Grant County,,city-us,536,42.726,-90.603,1782
19069,Harrison,WI,Waupaca County,,city-us,460,44.639,-89.171,1993
19068,Harrison,GA,Washington County,,city-us,330,32.826,-82.725,2150
19058,Harrison,WI,Marathon County,,city-us,317,45.068,-89.306,1981
19063,Harrison,NE,Sioux County,,city-us,238,42.687,-103.883,4846
19055,Harrison,ID,Kootenai County,,city-us,229,47.454,-116.785,9495
19057,Harrison,MT,Madison County,,city-us,33,45.701,-111.786,2457
19038,Harrison,SD,Douglas County,,city-us,8,43.430,-98.527,2049
