id,name,state,county,country,level,population,latitude,longitude,wiki
13394,Lisbon,,,Portugal,city-international,506654,38.708,-9.139,54235
13393,Lisbon,WI,Waukesha County,,city-us,10561,43.158,-88.250,3198
13382,Lisbon,ME,Androscoggin County,,city-us,9674,44.020,-70.079,5054
13392,Lisbon,NY,St. Lawrence County,,city-us,4241,44.697,-75.306,5565
13391,Lisbon,CT,New London County,,city-us,4198,41.603,-72.012,2999
13384,Lisbon,OH,Columbiana County,,city-us,2579,40.772,-80.768,9926
13389,Lisbon,IA,Linn County,,city-us,2215,41.921,-91.385,3590
13390,Lisbon,ND,Ransom County,,city-us,2190,46.442,-97.681,4520
13387,Lisbon,WI,Juneau County,,city-us,1698,43.856,-90.132,1934
13385,Lisbon,NH,Grafton County,,city-us,848,44.213,-71.911,4176
13383,Lisbon,LA,Claiborne Parish,,city-us,159,32.796,-92.865,2571
13388,Lisbon,FL,Lake County,,city-us,143,28.871,-81.790,2178
13386,Lisbon,MD,Howard County,,city-us,35,39.336,-77.071,2014
