id,name,state,country,level,population,latitude,longitude,wiki
9259,Thornton,CO,,city-us,142610,39.92,-104.94,6126
9266,Thornton,MI,,city-us,3248,42.95,-82.69,3196
9262,Thornton,NH,,city-us,2754,43.95,-71.64,2795
9261,Thornton,IL,,city-us,2333,41.57,-87.61,2358
9258,Thornton,CA,,city-us,889,38.23,-121.42,2358
9263,Thornton,TX,,city-us,415,31.41,-96.57,2221
9260,Thornton,IA,,city-us,398,42.94,-93.38,5539
9257,Thornton,AR,,city-us,339,33.78,-92.49,2743
9264,Thornton,WI,,city-us,52,44.80,-88.69,207
9265,Thornton,KY,,city-us,0,37.15,-82.77,141
9267,Thornton,MS,,city-us,0,33.08,-90.32,788
9268,Thornton,PA,,city-us,0,39.91,-75.53,546
9269,Thornton,WA,,city-us,0,47.12,-117.39,233
9270,Thornton,WV,,city-us,0,39.35,-79.94,651
