id,name,state,country,level,population,latitude,longitude,wiki
5200,Uniontown,PA,,city-us,9803,39.90,-79.72,12478
5199,Uniontown,OH,,city-us,6992,40.98,-81.41,3318
5195,Uniontown,AL,,city-us,2037,32.45,-87.51,4800
5198,Uniontown,KY,,city-us,854,37.78,-87.93,2991
5201,Uniontown,WA,,city-us,390,46.54,-117.09,4221
5197,Uniontown,KS,,city-us,296,37.85,-94.98,4083
5196,Uniontown,AR,,city-us,112,35.58,-94.44,824
5202,Uniontown,IL,,city-us,0,40.75,-90.10,76
5203,Uniontown,IN,,city-us,0,38.85,-85.83,283
5204,Uniontown,IN,,city-us,0,38.23,-86.66,311
5205,Uniontown,MD,,city-us,0,39.59,-77.12,0
5206,Uniontown,MO,,city-us,0,37.61,-89.71,1059
5207,Uniontown,OH,,city-us,0,40.13,-80.99,265
5208,Uniontown,VA,,city-us,0,38.82,-77.45,92
