id,name,state,country,level,population,latitude,longitude,wiki
12935,Lennox,CA,,city-us,21514,33.94,-118.35,6843
12940,Lenox,MI,,city-us,12306,42.76,-82.80,2600
12941,Lenox,NY,,city-us,8777,43.11,-75.76,3452
12939,Lenox,MA,,city-us,5099,42.37,-73.27,12796
12944,Lennox,SD,,city-us,2405,43.35,-96.89,3586
12942,Lenox,OH,,city-us,1384,41.68,-80.78,1430
12937,Lenox,IA,,city-us,1344,40.88,-94.56,3827
12936,Lenox,GA,,city-us,756,31.27,-83.46,2558
12945,Lenox,TN,,city-us,308,36.09,-89.50,105
12938,Lenox,IL,,city-us,264,40.85,-90.61,285
12946,Lenox,AL,,city-us,37,31.34,-87.19,545
12943,Lenox,PA,,city-us,0,41.71,-75.67,114
12947,Lenox,KY,,city-us,0,37.96,-83.20,228
12948,Lenox,MO,,city-us,0,37.65,-91.76,511
12949,Lenox,WV,,city-us,0,39.57,-79.59,120
12950,Lennox,WI,,city-us,0,45.51,-89.07,389
