id,name,state,country,level,population,latitude,longitude,wiki
16964,Sandy Hook,CT,,city-us,9406,41.41,-73.24,2942
16965,Sandy Hook,KY,,city-us,644,38.09,-83.13,3514
16967,Sandy Hook,WI,,city-us,255,42.54,-90.61,153
16966,Sandy Hook,MD,,city-us,168,39.33,-77.71,1021
16968,Sandy Hook,IN,,city-us,0,38.57,-87.22,214
16969,Sandy Hook,MS,,city-us,0,31.04,-89.80,149
16970,Sandy Hook,MO,,city-us,0,38.75,-92.41,606
16971,Sandy Hook,NJ,,city-us,0,40.45,-74.00,9038
16972,Sandy Hook,VA,,city-us,0,37.75,-77.91,647
