id,name,state,county,country,level,population,latitude,longitude,wiki
15197,Milford,CT,New Haven County,,city-us,52390,41.225,-73.061,22487
15202,Milford,MA,Worcester County,,city-us,30277,42.159,-71.521,9404
15194,Milford,DE,Kent County,,city-us,12272,38.910,-75.422,8519
15191,Milford,NH,Hillsborough County,,city-us,8437,42.835,-71.649,7148
15186,Milford,OH,Clermont County,,city-us,6497,39.165,-84.285,6348
15198,Milford,MI,Oakland County,,city-us,6474,42.594,-83.599,6270
15188,Milford,IA,Dickinson County,,city-us,3347,43.325,-95.150,8139
15200,Milford,ME,Penobscot County,,city-us,3058,44.993,-68.576,4708
15201,Milford,NE,Seward County,,city-us,2145,40.774,-97.051,4180
15195,Milford,IN,Kosciusko County,,city-us,1608,41.410,-85.846,4026
15185,Milford,UT,Beaver County,,city-us,1507,38.397,-113.011,2905
15192,Milford,NJ,Hunterdon County,,city-us,1231,40.569,-75.095,11249
15193,Milford,WI,Jefferson County,,city-us,1099,43.101,-88.847,2883
15189,Milford,TX,Ellis County,,city-us,730,32.125,-96.945,5078
15199,Milford,NY,Otsego County,,city-us,401,42.591,-74.945,4028
15190,Milford,KS,Geary County,,city-us,400,39.168,-96.913,4005
15187,Milford,IN,Decatur County,,city-us,121,39.350,-85.619,1703
15196,Milford,CA,Lassen County,,city-us,103,40.171,-120.372,2661
