city,lat,lng,population
Maracay,10.2469,-67.5958,407109
Jiexiu,37.0282,111.9103,406517
Santa Fe,-31.6333,-60.7000,405683
Campina Grande,-7.2306,-35.8811,405072
Nagasaki,32.7833,129.8667,404656
Szczecin,53.4247,14.5553,403833
Maringa,-23.4250,-51.9389,403063
Carapicuiba,-23.5228,-46.8358,392294
Qazvin,36.2688,50.0041,402748
Quilon,8.8853,76.5864,397419
Jundiai,-23.1864,-46.8842,401896
Hirakata,34.8167,135.6500,396694
Gifu,35.4167,136.7667,400118
Sikar,27.6119,75.1397,400000
Jiangjiafan,31.0304,112.1000,400000
Dera Ghazi Khan,30.0500,70.6333,399064
Mwanza,-2.5167,32.9000,385810
Xushan,30.1697,121.2665,397000
Miyazaki,31.9167,131.4167,397476
Yuyao,30.0372,121.1546,397000
Bhatpara,22.8667,88.4167,386019
Sandakan,5.8388,118.1173,396290
Taytay,14.5692,121.1325,386451
Hejin,35.5914,110.7060,395527
Thanh Hoa,19.8075,105.7764,393294
Minamisuita,34.7667,135.5167,384953
Yokosuka,35.2500,139.6667,390275
Nha Trang,12.2495,109.1908,392279
Belgorod,50.6000,36.6000,391135
Malabon,14.6625,120.9567,380522
Yola,9.2000,12.4833,392854
Lobito,-12.3597,13.5308,393079
Saurimo,-9.6589,20.3934,393000
Olinda,-8.0089,-34.8550,389494
Esenler,41.0794,28.8539,380709
Gujrat,32.5736,74.0789,390533
Ad Diwaniyah,31.9892,44.9247,391600
Piracicaba,-22.7253,-47.6492,391449
Hancheng,35.4768,110.4419,391164
Karamay,45.5928,84.8711,391008
Kakinada,16.9333,82.2167,384182
Bhilwara,25.3500,74.6333,389911
Tieli,46.9838,128.0400,390000
Cilegon,-6.0167,106.0167,387543
Nizamabad,18.6704,78.1000,388505
Bologna,44.4939,11.3428,389261
Esenyurt,41.0343,28.6801,373017
Tetouan,35.5667,-5.3667,380787
Aqtobe,50.2836,57.2297,387807
Oyo,7.8333,3.9333,386723
Tarlac City,15.4802,120.5979,385398
Okazaki,34.9500,137.1667,385376
Cainta,14.5667,121.1167,376933
Ha'il,27.5236,41.7001,385257
Yidu,30.3880,111.4505,384598
Lianzhou,24.7868,112.3735,384700
Florence,43.7714,11.2542,380948
Christchurch,-43.5309,172.6365,383200
Nuevo Laredo,27.4861,-99.5069,384033
Brno,49.1953,16.6083,382405
London,42.9836,-81.2497,383822
Novi Sad,45.2644,19.8317,380000
Gusau,12.1667,6.6667,383162
Pasto,1.2100,-77.2747,382236
Las Palmas,28.1272,-15.4314,378675
Ichinomiya,35.3039,136.8031,378681
Panihati,22.6900,88.3700,377347
Huancayo,-12.0667,-75.2167,378203
Betim,-19.9678,-44.1978,378089
Sintra,38.7974,-9.3904,377835
Parbhani,19.2704,76.7600,378326
Usulutan,13.3500,-88.4500,378606
Iquitos,-3.7333,-73.2500,377609
Helixi,30.6267,118.9861,376857
Manukau City,-37.0000,174.8850,375600
Cumana,10.4500,-64.1667,374706
Rohtak,28.9000,76.5667,374292
Vinnytsia,49.2167,28.4333,371855
Latur,18.4004,76.5700,374394
Lipa City,13.9411,121.1622,372931
Mandaue City,10.3333,123.9333,364116
Bello,6.3319,-75.5581,371591
Khorramabad,33.4667,48.3500,373416
Ambon,-3.7050,128.1700,372249
Butuan,8.9534,125.5288,372910
Keelung,25.1283,121.7419,370155
Toyohashi,34.7692,137.3916,371507
Baguio City,16.4152,120.5956,366358
La Florida,-33.5500,-70.5667,366916
Lengshuijiang,27.6858,111.4279,370300
Anguo,38.4177,115.3204,370317
Kita-ku,35.7500,139.7333,353058
Rajapalaiyam,9.4204,77.5800,369991
Panshi,42.9392,126.0561,370238
Madan,30.3307,48.2797,370180
Plovdiv,42.1421,24.7415,366511
Az Zubayr,30.3892,47.7081,370000
Al Qatif,26.5196,50.0115,368892
Takasaki,36.3167,139.0000,367463
Huichang,34.9136,112.7852,367113
Vitsyebsk,55.1833,30.1667,364800
Nagano,36.6486,138.1928,367184
Bauru,-22.3147,-49.0606,366992
Yanjiao,39.9432,116.8036,363809
Bochum,51.4833,7.2167,364454
Tecamac,19.7131,-98.9683,364579
Anapolis,-16.3269,-48.9528,366491
Coventry,52.4081,-1.5106,362690
Shinjuku,35.7000,139.7167,346115
Wonsan,39.1475,127.4461,363127
Caerdydd,51.4817,-3.1792,361469
Iligan,8.2333,124.2500,363115
Cabuyao,14.2750,121.1250,355330
Nakano,35.7074,139.6638,341014
Bengkulu,-3.7956,102.2592,360495
Orizaba,18.8500,-97.1000,355333
Blumenau,-26.9189,-49.0658,361855
Montes Claros,-16.7322,-43.8636,361915
Petion-Ville,18.5098,-72.2856,359615
Shuanghejiedao,30.3866,106.7756,360000
Umuahia,5.5333,7.4833,359230
Surgut,61.2500,73.4333,360590
Gedaref,14.0333,35.3833,354927
Palu,-0.8950,119.8594,359350
Pokhara,28.2097,83.9853,353841
Mahilyow,53.9089,30.3430,357100
Wudalianchi,48.6433,126.1408,360000
Sungai Petani,5.6500,100.4800,358499
Nam Dinh,20.4200,106.1683,352108
Vitoria,-20.3189,-40.3378,355875
Hrodna,53.6667,23.8167,356900
Vladimir,56.1286,40.4058,356168
Sao Vicente,-23.9633,-46.3922,355542
Taraz,42.8833,71.3667,357795
Cubal,-13.1117,14.3672,357618
Kawagoe,35.9333,139.4833,354195
Ibb,13.9667,44.1667,350864
Yong'an,25.9733,117.3593,357000
Wuppertal,51.2667,7.1833,355004
Manisa,38.6333,27.4167,356702
San Fernando,15.0333,120.6833,354666
Minatitlan,17.9833,-94.5500,356020
Nizhniy Tagil,57.9167,59.9667,355693
San Pedro,14.3583,121.0583,326001
Hongzhai,35.0476,104.6394,355037
Wakayama,34.2333,135.1667,353299
Bilbao,43.2569,-2.9236,346405
Rahimyar Khan,28.4202,70.2952,353203
Pavlodar,52.3156,76.9564,353930
Gimpo,37.6236,126.7142,352683
Itaquaquecetuba,-23.4864,-46.3486,352801
Nara,34.6833,135.7833,352377
Van,38.5019,43.4167,353419
Corrientes,-27.4833,-58.8167,352646
Neiva,2.9275,-75.2875,353033
Arkhangelsk,64.5500,40.5333,351488
Batangas,13.7500,121.0500,351437
Licheng,24.4935,110.3902,352472
Koshigaya,35.8911,139.7908,346768
Sinuiju,40.1000,124.4000,352000
Cabimas,10.4000,-71.4333,351735
Yueqing,28.1188,120.9621,351200
Yakeshi,49.2842,120.7283,352173
Ahmadnagar,19.0833,74.7333,350859
Takatsuki,34.8500,135.6167,347496
Holguin,20.8872,-76.2631,350191
Qoqon,40.5404,70.9400,350000
Semey,50.4111,80.2275,350201
Varna,43.2114,27.9111,347924
Yingmen,39.8300,97.7300,350000
Cariacica,-20.2639,-40.4200,348738
Palmira,3.5347,-76.2956,349294
Tapachula,14.9000,-92.2667,348156
Konak,38.4183,27.1347,344678
Bydgoszcz,53.1167,18.0000,346739
Hatay,36.2025,36.1606,347974
Antofagasta,-23.6464,-70.3980,348517
Rajahmundry,16.9833,81.7833,341831
Chita,52.0333,113.5000,347088
Chitungwiza,-18.0000,31.1000,340360
Caruaru,-8.2828,-35.9758,347088
Utrecht,52.0889,5.1156,343779
Tanch'on,40.4580,128.9110,345876
Tokorozawa,35.7994,139.4689,341195
Nice,43.7034,7.2663,341032
Sumqayit,40.5917,49.6397,341200
Kusti,13.1700,32.6600,345068
Cuddapah,14.4667,78.8167,344893
Simferopol,44.9484,34.1000,341799
Otsu,35.0167,135.8500,342607
Vitoria da Conquista,-14.8658,-40.8389,343230
Makiivka,48.0556,37.9611,343158
East London,-33.0153,27.9116,338627
Uruapan,19.4208,-102.0628,334749
Gomez Palacio,25.5611,-103.4983,342286
Franca,-20.5389,-47.4008,342112
Brest,52.0847,23.6569,340318
Kaluga,54.5333,36.2667,341892
Muzaffarpur,26.1200,85.3833,333200
Yeosu,34.7368,127.7458,341994
Lublin,51.2333,22.5667,339850
Alwar,27.5667,76.6167,341422
Brahmapur,19.3200,84.8000,324726
Lianran,24.9211,102.4778,341341
Buon Ma Thuot,12.6667,108.0500,340000
Cuernavaca,18.9186,-99.2342,338650
Beni,0.4911,29.4731,332903
Randburg,-26.0936,28.0064,337053
Alicante,38.3453,-0.4831,337304
Jitpur,27.6666,85.3333,337785
Kaesong,37.9640,126.5644,338155
Petrolina,-9.3928,-40.5078,337683
Chinju,35.1928,128.0847,337230
Tangdong,25.9755,113.2302,337495
Hangu,39.2320,117.7770,332793
Belfast,54.5964,-5.9300,333871
Iwaki,37.0333,140.8833,336111
Blida,36.4722,2.8333,331779
Salamanca,20.5703,-101.1972,327169
Yingzhong,32.2381,119.8133,334977
Hirosaki,40.6031,140.4642,335203
Vina del Mar,-33.0245,-71.5518,332875
Nazret,8.5500,39.2667,324000
Bielefeld,52.0167,8.5333,333509
Cuenca,-2.8974,-79.0045,329928
Al Fayyum,29.3000,30.8333,315940
Ciudad Obregon,27.4939,-109.9389,329404
Wad Medani,14.4000,33.5100,332714
Ribeirao das Neves,-19.7669,-44.0869,331045
Soledad de Graciano Sanchez,22.1833,-100.9333,332072
Bonn,50.7339,7.0997,330579
Kamarhati,22.6700,88.3700,330211
Maebashi,36.3833,139.0667,331576
Thessaloniki,40.6403,22.9356,315196
Ganca,40.6828,46.3606,331400
Mymensingh,24.7504,90.3800,330126
Kendari,-3.9675,122.5947,331013
Thai Nguyen,21.6000,105.8500,330000
Smolensk,54.7828,32.0453,329853
Asahikawa,43.7706,142.3650,331392
Dahuk,36.8500,42.9833,330600
Wonju,37.3417,127.9208,330854
Mathura,27.5035,77.6722,330511
Nakuru,-0.2833,36.0667,307990
Lafia,8.5000,8.5167,330712
Koriyama,37.4128,140.2950,329706
Bamiantong,44.9164,130.5212,330000
Patiala,30.3204,76.3850,329224
Taourirt,34.4100,-2.8900,321876
Izmir,38.4127,27.1384,329052
Vung Tau,10.4042,107.1417,327000
Cabanatuan City,15.4833,120.9667,327325
Markham,43.8767,-79.2633,328966
Saugor,23.8300,78.7100,328240
Pelotas,-31.7719,-52.3428,328275
Roodepoort,-26.1625,27.8725,326416
Volzhskiy,48.7833,44.7667,326055
Bijapur,16.8244,75.7154,327427
Sukabumi,-6.9197,106.9272,320970
Ulanhot,46.0726,122.0719,327081
Yunzhong,39.8143,113.0946,326849
Cotabato,7.2167,124.2500,325079
Al Fallujah,33.3500,43.7833,326471
Kochi,33.5589,133.5314,325560
Minna,9.6139,6.5569,322163
Boa Vista,2.8200,-60.6719,326419
Cluj-Napoca,46.7800,23.5594,324576
Canoas,-29.9200,-51.1800,323827
Gwangmyeongni,37.4772,126.8664,318021
Bari,41.1253,16.8667,323370
Pucallpa,-8.3833,-74.5500,326040
Yildirim,40.1878,29.0822,324377
Kuching,1.5397,110.3542,325132
Tepic,21.5083,-104.8931,318781
Caucaia,-3.7328,-38.6558,325441
Gonder,12.6000,37.4667,323900
Uberaba,-19.7478,-47.9319,325279
Mekele,13.4969,39.4769,323700
Gonaives,19.4456,-72.6883,324043
Guasave,25.5744,-108.4706,320000
Naha,26.2122,127.6789,316048
Binxian,35.0364,108.0764,323256
San Juan,18.4037,-66.0636,323279
Hotan,37.1012,79.9327,322300
Dongyang,29.2785,120.2282,322500
Ciudad del Este,-25.5167,-54.6167,320782
Kaiyuan,23.7147,103.2585,322693
Temara,33.9234,-6.9076,313510
Uige,-7.6087,15.0613,322531
Cordoba,37.8845,-4.7796,322071
Camaguey,21.3786,-77.9186,321992
San Salvador de Jujuy,-24.1856,-65.2994,321789
Timisoara,45.7597,21.2300,319279
Al Kut,32.4907,45.8304,321521
Shahjanpur,27.8804,79.9050,320434
Cherepovets,59.1333,37.9167,318856
San Miguelito,9.0330,-79.5000,315019
Menongue,-14.6556,17.6842,320914
Junagadh,21.5200,70.4700,320250
Katsina,12.9889,7.6008,318459
Poltava,49.5744,34.5686,317847
Maroua,10.5823,14.3275,319941
Kaech'on,39.6986,125.9061,319554
Asan,36.3500,126.9167,319929
Tehuacan,18.4617,-97.3928,319375
Coatzacoalcos,18.1500,-94.4333,319187
Nukus,42.4647,59.6022,319583
Oskemen,49.9900,82.6149,319067
Nantes,47.2181,-1.5528,314138
Zalantun,48.0033,122.7365,318933
Trichur,10.5200,76.2100,315596
Binangonan,14.4514,121.1919,313631
Cirebon,-6.7167,108.5667,316126
Munster,51.9625,7.6256,316403
Az Zaqaziq,30.5833,31.5167,285097
Boaco,12.4667,-85.6667,317000
Ca Mau,9.1833,105.1500,315270
Toshima,35.7333,139.7167,297954
Vologda,59.2167,39.9000,313012
Saransk,54.1833,45.1833,314789
Barddhaman,23.2500,87.8500,314265
Tanza,14.3944,120.8531,312116
Bor,6.2167,31.5500,315351
Kasur,31.1167,74.4500,314617
Yakou,33.2937,113.5203,313828
Orel,52.9686,36.0694,311625
Shahr-e Qods,35.7214,51.1089,309605
Safi,32.2833,-9.2333,308508
Gungoren,41.0350,28.8575,272950
Guaruja,-23.9936,-46.2564,311230
Playa del Carmen,20.6275,-87.0811,304942
Purnea,25.7800,87.4700,310817
Datang,22.9481,113.9276,310889
Zarzal,4.3942,-76.0703,312599
Port Elizabeth,-33.9581,25.6000,312392
Gorgan,36.8300,54.4800,312223
Quy Nhon,13.7696,109.2314,311000
Sambalpur,21.4704,83.9701,310852
Mannheim,49.4878,8.4661,309721
Yakutsk,62.0272,129.7319,311760
Yokkaichi,34.9667,136.6167,310263
Ponta Grossa,-25.0950,-50.1619,311611
Catania,37.5027,15.0873,311584
Chalco,19.2647,-98.8975,310130
Karlsruhe,49.0167,8.4000,308436
Shahriar,35.6597,51.0592,309607
Kurgan,55.4408,65.3411,309285
Kasugai,35.2477,136.9724,306449
Sariwon,38.5039,125.7589,307764
St. Catharines,43.1833,-79.2333,309319
Matadi,-5.8167,13.4833,306053
Niagara Falls,43.0600,-79.1067,308596
Firozabad,27.1500,78.3949,306409
Vladikavkaz,43.0400,44.6775,306978
Hisar,29.1489,75.7367,307024
Puerto La Cruz,10.2167,-64.6167,306261
Puerto Princesa,9.7500,118.7500,307079
Podolsk,55.4311,37.5456,299660
Meguro,35.6333,139.6833,286905
Ciudad Victoria,23.7333,-99.1333,305155
Ciudad Santa Catarina,25.6833,-100.4500,306322
Vaughan,43.8333,-79.5000,306233
Awasa,7.0500,38.4667,300100
Oakashicho,34.6431,134.9975,299699
Pekalongan,-6.8883,109.6753,298386
Kurume,33.3167,130.5167,302858
Vila Nova de Gaia,41.1333,-8.6167,302295
Curepipe,-20.3162,57.5166,299975
Paulista,-7.9408,-34.8728,300466
Oaxaca,17.0606,-96.7253,300050
Armenia,4.5389,-75.6725,301226
Akita,39.7197,140.1025,302984
Awka,6.2000,7.0667,301657
San Bernardo,-33.6000,-70.7167,301313
Iksan,35.9439,126.9544,302310
Taubate,-23.0333,-45.5500,302331
Mardan,34.1958,72.0447,300424
Soc Trang,9.6000,105.9719,300000
Mbeya,-8.9000,33.4500,291649
San Juan del Rio,20.3833,-99.9833,301237
Popayan,2.4411,-76.6061,300837
Praia Grande,-24.0058,-46.4028,299261
Qianzhou,28.3185,109.7318,301000
Newcastle,55.0077,-1.6578,300196
Ciudad General Escobedo,25.7933,-100.1583,299364
Coatepeque,14.7000,-91.8667,300000
Quzhou,28.9545,118.8763,300300
Tampico,22.2553,-97.8686,297284
Bialystok,53.1167,23.1667,297554
Merida,8.5833,-71.1333,300000
Murmansk,68.9667,33.0833,298096
Ar Raqqah,35.9500,39.0100,299824
Linhai,28.8523,121.1409,299500
Jember,-8.1727,113.6873,298585
Valladolid,41.6528,-4.7236,297775
Bahia Blanca,-38.7167,-62.2667,299101
Central Coast,-33.3000,151.2000,297713
Rampur,28.7880,79.0190,296418
Iskenderun,36.5804,36.1700,297943
Al Mubarraz,25.4416,49.6642,298562
Petropolis,-22.5050,-43.1789,298142
Al Kharj,24.1556,47.3120,298428
Navotas,14.6667,120.9417,247543
Chernihiv,51.4939,31.2947,294522
Yangsan,35.3386,129.0386,297532
Comilla,23.4500,91.2000,296010
Pachuca,20.1000,-98.7500,297848
Augsburg,48.3717,10.8983,295830
Bradford,53.8000,-1.7500,293277
Tagum,7.4478,125.8078,296202
Valparaiso,-33.0458,-71.6197,296655
Silang,14.2306,120.9750,295644
Limeira,-22.5647,-47.4017,296440
Rangpur,25.7500,89.2444,294265
Vigo,42.2314,-8.7124,293837
Kocaeli,40.7656,29.9406,294875
Montpellier,43.6119,3.8772,290053
Bali,22.6500,88.3400,293373
Panipat,29.3833,76.9667,292808
Ismailia,30.5833,32.2667,293184
Vila Teixeira da Silva,-12.1958,15.8556,294494
Delmas,18.5500,-72.3000,284079
Mabalacat,15.2167,120.5833,293244
Batna,35.5500,6.1667,290645
Aizawl,23.7333,92.7167,293416
Kunp'o,37.3675,126.9469,285721
Tambov,52.7167,41.4333,290365
Thies,14.7833,-16.9167,293001
Iasi,47.1622,27.5889,290422
Pendik,40.8775,29.2514,289380
Nottingham,52.9533,-1.1500,289301
Santa Maria,14.8183,120.9563,289820
Groznyy,43.3125,45.6986,291687
Kherson,46.6333,32.6000,291428
Santarem,-2.4428,-54.7078,292520
Bafoussam,5.4667,10.4167,290768
Hong'an,47.2100,123.6100,289999
Resistencia,-27.4514,-58.9867,291720
Brasov,45.6500,25.6000,290743
Juliaca,-15.4908,-70.1269,291189
Graz,47.0708,15.4386,289440
Itagui,6.1726,-75.6096,276744
Karimnagar,18.4333,79.1500,289821
San Lorenzo,-25.3431,-57.5094,287977
Sumida,35.7000,139.8167,270823
Sekondi,4.9433,-1.7040,286248
Morioka,39.6833,141.1500,290553
Setif,36.1900,5.4100,288461
Atyrau,47.1167,51.8833,290700
Ipswich,52.0594,1.1556,290000
Kaunas,54.9000,23.9333,288466
Adana,37.0000,35.3250,289919
Hulin,45.7671,132.9646,290000
Bhuj,23.2504,69.8100,289429
Farg`ona,40.3864,71.7864,288850
Ichalkaranji,16.7000,74.4700,287570
Strasbourg,48.5833,7.7458,284677
Punto Fijo,11.7167,-70.1833,287558
Sincelejo,9.2994,-75.3958,286716
Ibaraki,34.8164,135.5686,283835
Camacari,-12.6978,-38.3239,286919
San Cristobal,7.7682,-72.2322,285872
Bolton,53.5780,-2.4290,285372
San Pablo,14.0700,121.3250,285348
Suzano,-23.5428,-46.3108,285280
Korhogo,9.4578,-5.6294,286071
Hospet,15.2667,76.4000,286007
Bhatinda,30.2133,74.9519,285813
Cascavel,-24.9558,-53.4550,286205
Ostrava,49.8356,18.2925,284982
Tacna,-18.0556,-70.2483,286240
Constanta,44.1733,28.6383,283872
Haifa,32.8000,34.9833,281087
Fukushima,37.7608,140.4733,284282
Barinas,8.6226,-70.2075,284289
Coro,11.3950,-69.6816,284266
Bago,17.3433,96.4981,284179
Fuquan,26.7039,107.5087,283904
Tongchuanshi,35.0800,109.0300,282258
Sannai,24.1600,80.8300,283004
Huozhou,36.5726,111.7176,282905
Temuco,-38.7399,-72.5901,282415
Sterlitamak,53.6333,55.9500,280233
Tegal,-6.8667,109.1333,275789
Ica,-14.0667,-75.7333,282407
Lucena,13.9333,121.6167,278924
Osh,40.5333,72.7833,281900
Jining,41.0300,113.0800,281716
Chuncheon,37.8747,127.7342,281596
Malard,35.6658,50.9767,281027
Pematangsiantar,2.9600,99.0600,278055
Long Xuyen,10.3686,105.4234,278658
Petrozavodsk,61.7833,34.3500,278551
Bukhara,39.7747,64.4286,280187
Sumbe,-11.2052,13.8417,279968
Viet Tri,21.3136,105.3947,277539
Wiesbaden,50.0825,8.2400,278609
Cherkasy,49.4444,32.0597,276360
Sunderland,54.9060,-1.3810,277417
Barasat,22.7200,88.4800,278435
Kostroma,57.7667,40.9333,277648
Zhuji,29.7169,120.2314,278900
Gyeongsan,35.8167,128.7333,278500
Los Alcarrizos,18.5167,-70.0167,272776
Governador Valadares,-18.8508,-41.9489,278363
Taboao da Serra,-23.6019,-46.7528,272177
San Mateo,14.6969,121.1219,273306
Katowice,50.2500,19.0000,276499
Shaowu,27.3417,117.4869,278000
Sfax,34.7400,10.7600,272801
Nizhnevartovsk,60.9389,76.5950,277668
Linxia Chengguanzhen,35.6000,103.2167,274466
Dire Dawa,9.5833,41.8667,277000
Khmelnytskyi,49.4200,27.0000,274176
Owo,7.1664,5.5800,276574
Southampton,50.9025,-1.4042,271173
Posadas,-27.3667,-55.8969,275988
Gatineau,45.4833,-75.6500,276245
Windsor,42.2833,-83.0000,276165
Mbandaka,0.0486,18.2603,274996
Malmo,55.5833,13.0333,269349
Kunsan,35.9786,126.7114,275155
Qarshi,38.8667,65.8000,274891
Kafr ad Dawwar,31.1339,30.1297,262748
Maradi,13.5000,7.1000,267249
Ratlam,23.3167,75.0667,273892
Yeosu,34.7607,127.6622,273761
Crato,-7.4639,-63.0400,273883
Tsu,34.7186,136.5056,273267
Bijiao,22.9311,113.2018,270310
Palmas,-10.2128,-48.3603,272726
Craiova,44.3333,23.8167,269506
Minato,35.6581,139.7514,258105
Sorong,-0.8667,131.2500,272349
Majene,-3.5336,118.9660,272377
Thai Binh,20.4461,106.3422,268167
Binjai,3.6000,98.4853,269053
Fuchu,35.6689,139.4778,263093
Gabela,-10.8500,14.3667,271843
Oral,51.2225,51.3725,271900
Dayr az Zawr,35.3333,40.1500,271800
Brahmanbaria,23.9667,91.1000,268279
Sarta,36.5504,53.1000,271467
Plymouth,50.3714,-4.1422,267918
Santo Domingo de los Colorados,-0.2542,-79.1719,270875
Novorossiysk,44.7167,37.7667,270774
Santa Ana,13.9833,-89.5333,270413
Gombe,10.2904,11.1700,270366
Gijon,43.5333,-5.7000,268896
Espoo,60.2100,24.6600,269802
Drug,21.1900,81.2800,268806
Mito,36.3667,140.4667,268750
Bamenda,5.9333,10.1667,269530
Floridablanca,7.0697,-73.0978,267170
Handwara,34.4000,74.2800,269311
Talisay,10.2500,123.8333,263048
Yoshkar-Ola,56.6328,47.8958,266675
Nalchik,43.4833,43.6167,265162
Aswan,24.0889,32.8997,267913
Ichihara,35.4981,140.1156,268038
Zhytomyr,50.2544,28.6578,264452
Imphal,24.8200,93.9500,264986
Chernivtsi,48.2908,25.9344,266550
Heroica Nogales,31.3186,-110.9458,261137
Sumare,-22.8219,-47.2669,265955
Yanbu`,24.0943,38.0493,267590
Sumy,50.9068,34.7992,265758
Tshikapa,-6.4167,20.8000,267462
Anantapur,14.6833,77.6000,267161
Westminster,51.4947,-0.1353,255324
Myeik,12.4394,98.6003,266720
Maraba,-5.3689,-49.1178,266932
Yao,34.6269,135.6008,264913
Barueri,-23.5111,-46.8764,262275
Djelfa,34.6667,3.2500,265833
Suncheon,34.9506,127.4875,265390
Jalalabad,34.4303,70.4528,263312
Engels,51.4667,46.1167,264990
Malolos,14.8433,120.8114,261189
Wenling,28.3797,121.3718,263700
Oruro,-17.9667,-67.1167,264683
Nogales,31.1833,-111.0000,264782
Dezful,32.3878,48.4033,264709
Sao Jose dos Pinhais,-25.5350,-49.2058,264210
Kyongju,35.8500,129.2167,264091
Nagaoka,37.4333,138.8333,263955
Dumai,1.6667,101.4500,264084
Taluqan,36.7167,69.5167,263800
Gent,51.0536,3.7253,262219
Damanhur,31.0500,30.4667,244043
Nawabshah,26.2442,68.4100,263102
Volta Redonda,-22.5231,-44.1042,262970
Annaba,36.9000,7.7667,257359
Kakogawacho-honmachi,34.7569,134.8414,260595
Wollongong,-34.4331,150.8831,261896
Bordeaux,44.8400,-0.5800,257068
Nonthaburi,13.8667,100.5167,255671
Marilao,14.7581,120.9481,254453
Venice,45.4397,12.3319,261321
Quang Ngai,15.1206,108.7922,260252
Olongapo,14.8333,120.2833,260317
Ciudad Benito Juarez,25.6500,-100.0833,260683
Gelsenkirchen,51.5167,7.1000,259105
Hiratsuka,35.3231,139.3422,257662
Monchengladbach,51.2000,6.4333,259665
Fukui,36.0641,136.2196,260263
Soka,35.8256,139.8056,251390
Kunduz,36.7280,68.8725,259809
Kingston upon Hull,53.7444,-0.3325,260200
Mossoro,-5.1878,-37.3439,259815
Wutong,30.6326,120.5474,257800
Misratah,32.3778,15.0901,259056
Derby,52.9217,-1.4769,255394
Verona,45.4386,10.9928,257275
Etawah,26.7855,79.0150,257448
Huayin,34.5664,110.0866,258113
Bergen,60.3925,5.3233,257087
Horlivka,48.3336,38.0925,256714
Antsirabe,-19.8667,47.0333,257163
Ondo,7.0904,4.8400,257005
Ap Da Loi,11.9304,108.4200,256019
Foz do Iguacu,-25.5400,-54.5875,256088
Bunkyo-ku,35.7167,139.7500,235981
Gravatai,-29.9433,-50.9939,255660
Chiayi,23.4800,120.4497,251938
Kediri,-7.8111,112.0047,252000
Damaturu,11.7803,11.9786,255895
Tokushima,34.0667,134.5500,254510
Arua,3.0300,30.9100,250000
Turmero,10.2283,-67.4753,254880
Raichur,16.2000,77.3667,255240
Kuala Terengganu,5.3303,103.1408,255109
Daloa,6.8900,-6.4500,255168
San Pedro Carcha,15.4768,-90.3120,255006
Mocamedes,-15.1953,12.1508,255000
La Paz,24.1422,-110.3108,250141
Wolverhampton,52.5833,-2.1333,250970
Rishon LeZiyyon,31.9711,34.7894,249860
Vitoria-Gasteiz,42.8500,-2.6833,253093
Kutahya,39.4242,29.9833,253335
Bharatpur,27.2172,77.4900,252342
Shinozaki,33.9500,130.9333,252844
Goma,-1.6794,29.2336,249862
Tacloban,11.2444,125.0039,251881
Rach Gia,10.0125,105.0808,250660
Kanggye,40.9667,126.6000,251971
Taganrog,47.2333,38.9000,250287
Varzea Grande,-15.6500,-56.1400,249752
El Fasher,13.6300,25.3500,252609
Las Condes,-33.4167,-70.5833,249893
Santiago del Estero,-27.7844,-64.2669,252192
Hakodate,41.7686,140.7289,251942
Begusarai,25.4200,86.1300,252008
A Coruna,43.3667,-8.3833,245468
Sonipat,28.9958,77.0114,250521
Stoke-on-Trent,53.0000,-2.1833,249008
Los Teques,10.3411,-67.0406,251200
Jinshi,29.6334,111.8746,251064
Chofugaoka,35.6506,139.5408,240359
Iwo,7.6300,4.1800,250443
Higuey,18.6181,-68.7111,251243
Juazeiro do Norte,-7.2128,-39.3150,249939
Bata,1.8650,9.7700,250770
Al Minya,28.0833,30.7500,236043
Babol,36.5500,52.6833,250217
Komsomol'sk-na-Amure,50.5500,137.0000,249810
Aachen,50.7762,6.0838,248960
Rivne,50.6197,26.2514,246574
Galati,45.4233,28.0425,249432
Al Bayda',32.7628,21.7550,250000
Kurmuk,10.5563,34.2848,250000
Shibuya-ku,35.6583,139.7014,235193
Thu Dau Mot,11.0042,106.6583,244277
Braunschweig,52.2692,10.5211,248561
Manzhouli,49.5881,117.4525,249472
Gdynia,54.5189,18.5319,247672
Palangkaraya,-2.2100,113.9200,249434
Hafr al Batin,28.4337,45.9601,249194
Chigasaki,35.3339,139.4047,242347
Sahiwal,30.6706,73.1064,247706
Kiel,54.3233,10.1394,246601
Shrirampur,22.7500,88.3400,181842
Portsmouth,50.8058,-1.0872,248440
Sibu,2.3000,111.8167,247995
Yato,35.4693,139.4616,239146
Parana,-31.7444,-60.5175,247863
Santa Clara,22.4067,-79.9531,247436
Yamagata,38.2500,140.3333,247234
Imperatriz,-5.5258,-47.4758,247505
Oruro,-17.9799,-67.1300,246501
Merlo,-34.6653,-58.7275,244168
Tsukuba-kenkyugakuen-toshi,36.0333,140.0667,246647
Barnsley,53.5547,-1.4791,245199
Syktyvkar,61.6667,50.8167,245313
Khimki,55.8892,37.4450,244668
Biratnagar,26.4833,87.2833,242548
Saskatoon,52.1333,-106.6833,246376
Abertawe,51.6167,-3.9500,245508
Jessore,23.1704,89.2000,243987
Beichengqu,40.4348,113.1565,245608
Tuy Hoa,13.0869,109.3086,242840
Hapur,28.7437,77.7628,242920
Fuji,35.1614,138.6764,243739
Chemnitz,50.8333,12.9167,243487
Mokpo,34.7936,126.3886,239524
Avcilar,40.9792,28.7214,233749
Tanga,-5.0667,39.1000,243580
