id,name,state,county,country,level,population,latitude,longitude,wiki
45620,Wayland,MA,Middlesex County,,city-us,13724,42.360,-71.361,9012
45615,Wayland,MI,Allegan County,,city-us,4426,42.674,-85.645,5080
45622,Wayland,NY,Steuben County,,city-us,3702,42.525,-77.598,4184
45619,Wayland,IA,Henry County,,city-us,975,41.147,-91.661,5162
45617,Wayland,MO,Clark County,,city-us,425,40.394,-91.583,3428
45618,Wayland,KY,Floyd County,,city-us,403,37.445,-82.805,2954
45621,Wayland,OH,Portage County,,city-us,0,41.161,-81.071,579
