id,name,state,county,country,level,population,latitude,longitude,wiki
7835,Evansville,IN,Vanderburgh County,,city-us,116486,37.975,-87.556,45035
7834,Evansville,WI,Rock County,,city-us,5791,42.780,-89.299,14485
7832,Evansville,WY,Natrona County,,city-us,2749,42.860,-106.268,4049
7831,Evansville,MN,Douglas County,,city-us,590,46.004,-95.683,3043
7833,Evansville,IL,Randolph County,,city-us,521,38.090,-89.938,2401
7836,Evansville,AR,Washington County,,city-us,102,35.795,-94.497,767
7837,Evansville,AK,Yukon-Koyukuk ,,city-us,17,66.923,-151.508,3803
