id,name,state,county,country,level,population,latitude,longitude,wiki
19566,Proctor,MN,St. Louis County,,city-us,3095,46.747,-92.225,7215
19565,Proctor,VT,Rutland County,,city-us,1727,43.653,-73.033,5415
19561,Proctor,OK,Adair County,,city-us,274,35.966,-94.777,559
19562,Proctor,TX,Comanche County,,city-us,0,31.988,-98.430,1116
19563,Proctor,MT,Lake County,,city-us,0,47.892,-114.305,597
19564,Proctor,KY,Lee County,,city-us,0,37.570,-83.714,2531
19567,Proctor,WV,Wetzel County,,city-us,0,39.712,-80.824,593
