id,name,state,county,country,level,population,latitude,longitude,wiki
8803,Garrison,MD,Baltimore County,,city-us,9727,39.406,-76.761,2915
8807,Garrison,ND,McLean County,,city-us,1432,47.652,-101.416,4012
8809,Garrison,TX,Nacogdoches County,,city-us,793,31.824,-94.491,2642
8806,Garrison,KY,Lewis County,,city-us,731,38.606,-83.173,475
8804,Garrison,IA,Benton County,,city-us,346,42.144,-92.144,3957
8810,Garrison,MT,Powell County,,city-us,89,46.523,-112.812,2885
8805,Garrison,NE,Butler County,,city-us,56,41.177,-97.167,3406
8808,Garrison,UT,Millard County,,city-us,0,38.934,-114.033,1411
