id,name,state,county,country,level,population,latitude,longitude,wiki
16430,Mount Carmel,IL,Wabash County,,city-us,6804,38.411,-87.761,10979
16429,Mount Carmel,PA,Northumberland County,,city-us,5711,40.797,-76.412,10698
16427,Mount Carmel,TN,Hawkins County,,city-us,5494,36.545,-82.661,4537
16425,Mount Carmel,OH,Clermont County,,city-us,4661,39.106,-84.304,4044
16428,Mount Carmel,SC,McCormick County,,city-us,262,34.007,-82.507,1840
16426,Mount Carmel,IN,Franklin County,,city-us,78,39.407,-84.873,2974
