id,name,state,country,level,population,latitude,longitude,wiki
17072,Sherman,TX,,city-us,44873,33.64,-96.61,12483
17036,Sherman,IL,,city-us,4635,39.89,-89.60,2898
17056,Sherman,MI,,city-us,3444,41.86,-85.48,548
17051,Sherman,MI,,city-us,3196,43.68,-85.03,548
17041,Sherman,KS,,city-us,2799,39.01,-94.99,669
17054,Sherman,MI,,city-us,2093,43.52,-85.86,548
17045,Sherman,KS,,city-us,1989,37.79,-97.64,669
17076,Sherman,WI,,city-us,1451,43.59,-87.98,2418
17053,Sherman,MI,,city-us,1139,44.04,-86.21,548
17048,Sherman,MI,,city-us,1006,44.12,-84.54,548
17055,Sherman,MI,,city-us,999,44.12,-85.38,548
17049,Sherman,MI,,city-us,991,43.73,-82.67,548
17074,Sherman,WI,,city-us,927,44.98,-91.95,1951
17073,Sherman,WI,,city-us,834,44.73,-90.38,1973
17047,Sherman,ME,,city-us,803,45.89,-68.36,2907
17067,Sherman,NY,,city-us,677,42.16,-79.60,3628
17061,Sherman,MS,,city-us,604,34.36,-88.84,4289
17044,Sherman,KS,,city-us,599,39.37,-96.75,669
17063,Sherman,NE,,city-us,566,41.78,-96.70,341
17058,Sherman,MO,,city-us,495,39.89,-94.52,200
17037,Sherman,KS,,city-us,486,37.62,-94.86,669
17068,Sherman,OH,,city-us,483,41.18,-82.79,1263
17035,Sherman,IL,,city-us,480,40.26,-89.89,285
17050,Sherman,MI,,city-us,435,44.21,-83.70,548
17057,Sherman,MN,,city-us,358,44.49,-94.94,2038
17075,Sherman,WI,,city-us,290,46.05,-90.09,2116
17046,Sherman,KS,,city-us,261,39.61,-97.09,669
17069,Sherman,SD,,city-us,249,44.41,-96.59,2737
17066,Sherman,NE,,city-us,224,41.61,-97.31,341
17064,Sherman,NE,,city-us,202,40.22,-96.51,341
17059,Sherman,MO,,city-us,193,40.24,-93.93,528
17039,Sherman,KS,,city-us,171,39.09,-97.10,669
17060,Sherman,MO,,city-us,133,40.54,-93.15,528
17043,Sherman,KS,,city-us,117,39.43,-96.29,669
17052,Sherman,MI,,city-us,95,47.27,-88.21,548
17071,Sherman,SD,,city-us,78,43.76,-96.48,2737
17065,Sherman,NE,,city-us,69,40.39,-99.01,341
17040,Sherman,KS,,city-us,60,38.83,-98.21,669
17034,Sherman,CT,,city-us,55,41.57,-73.50,7066
17062,Sherman,ND,,city-us,50,48.84,-101.29,139
17042,Sherman,KS,,city-us,43,39.26,-97.54,669
17070,Sherman,SD,,city-us,35,45.19,-99.52,2737
17038,Sherman,KS,,city-us,15,39.97,-100.45,669
17077,Sherman,KS,,city-us,0,37.26,-95.06,296
17078,Sherman,KY,,city-us,0,38.73,-84.60,327
17079,Sherman,MI,,city-us,0,44.42,-85.70,2080
17080,Sherman,MN,,city-us,0,44.95,-94.13,276
17081,Sherman,MO,,city-us,0,38.54,-90.59,528
17082,Sherman,NV,,city-us,0,40.95,-115.74,1113
17083,Sherman,NM,,city-us,0,32.75,-107.89,304
17084,Sherman,WV,,city-us,0,38.99,-81.76,362
17085,Sherman,WY,,city-us,0,41.13,-105.40,3913
