id,name,state,country,level,population,latitude,longitude,wiki
12360,Dunbar,WV,,city-us,7330,38.361,-81.737,5206
12356,Dunbar,PA,,city-us,999,39.978,-79.614,2273
12357,Dunbar,SC,,city-us,615,33.550,-79.355,508
12355,Dunbar,MN,,city-us,252,43.806,-93.705,1847
12364,Dunbar,NE,,city-us,164,40.668,-96.030,5183
12361,Dunbar,WI,,city-us,95,45.651,-88.172,2907
12365,Dunbar,ND,,city-us,89,46.160,-97.560,0
12367,Dunbar,VA,,city-us,79,36.974,-82.747,201
12359,Dunbar,MN,,city-us,20,47.658,-94.225,816
12353,Dunbar,KY,,city-us,0,37.188,-86.757,438
12354,Dunbar,TN,,city-us,0,35.459,-88.144,210
12358,Dunbar,GA,,city-us,0,32.659,-83.699,1248
12362,Dunbar,SC,,city-us,0,34.534,-79.561,193
12363,Dunbar,IA,,city-us,0,41.941,-92.781,752
12366,Dunbar,OH,,city-us,0,39.359,-81.742,279
