id,name,state,county,country,level,population,latitude,longitude,wiki
1902,Benton,AR,Saline County,,city-us,35675,34.565,-92.587,3983
1898,Benton,KY,Marshall County,,city-us,4763,36.857,-88.350,4488
1904,Benton,NY,Yates County,,city-us,2959,42.722,-77.050,4622
1895,Benton,ME,Kennebec County,,city-us,2734,44.591,-69.518,3192
1891,Benton,LA,Bossier Parish,,city-us,2055,32.695,-93.742,2560
1900,Benton,TN,Polk County,,city-us,1524,35.174,-84.654,3867
1896,Benton,WI,Lafayette County,,city-us,958,42.570,-90.381,3996
1892,Benton,KS,Butler County,,city-us,946,37.789,-97.109,4623
20176,Benton,KS,Atchison County,,city-us,946,39.493,-95.404,235
1903,Benton,MO,Scott County,,city-us,864,37.098,-89.563,3419
1893,Benton,PA,Columbia County,,city-us,824,41.195,-76.384,4080
1905,Benton,MS,Yazoo County,,city-us,415,32.826,-90.259,2449
1894,Benton,NH,Grafton County,,city-us,375,44.036,-71.847,3999
1899,Benton,CA,Mono County,,city-us,287,37.819,-118.477,5725
1901,Benton,IA,Ringgold County,,city-us,40,40.703,-94.358,2605
1897,Benton,AL,Lowndes County,,city-us,39,32.307,-86.818,4019
