id,name,state,country,level,population,latitude,longitude,wiki
14753,Fayetteville,NC,,city-us,208778,35.053,-78.878,24382
14764,Fayetteville,AR,,city-us,95230,36.063,-94.157,44393
14754,Fayetteville,GA,,city-us,19284,33.449,-84.455,8274
14760,Fayetteville,TN,,city-us,6989,35.152,-86.571,6662
14761,Fayetteville,NY,,city-us,4270,43.030,-76.004,2823
14756,Fayetteville,WV,,city-us,2844,38.053,-81.104,5793
14757,Fayetteville,PA,,city-us,2765,39.911,-77.550,2711
14763,Fayetteville,AL,,city-us,1422,33.146,-86.406,609
14752,Fayetteville,OH,,city-us,313,39.187,-83.932,3435
14762,Fayetteville,IL,,city-us,298,38.378,-89.795,1803
14755,Fayetteville,TX,,city-us,246,29.906,-96.673,3888
14758,Fayetteville,MO,,city-us,0,38.881,-93.756,292
14759,Fayetteville,IN,,city-us,0,38.861,-86.595,1559
14765,Fayetteville,IN,,city-us,0,38.451,-86.262,166
