id,name,state,country,level,population,latitude,longitude,wiki
32701,Leesville,NJ,,city-us,58544,40.09,-74.36,21362
32695,Leesville,LA,,city-us,5472,31.14,-93.26,5003
32704,Leesville,TX,,city-us,384,29.41,-97.75,33148
32697,Leesville,OH,,city-us,129,40.45,-81.21,3918
32696,Leesville,MO,,city-us,0,38.35,-93.54,336
32698,Leesville,CA,,city-us,0,39.19,-122.42,353
32699,Leesville,IL,,city-us,0,41.02,-87.63,172
32700,Leesville,IN,,city-us,0,38.85,-86.28,224
32702,Leesville,NC,,city-us,0,35.91,-78.56,97
32703,Leesville,OH,,city-us,0,40.80,-82.79,181
32705,Leesville,VA,,city-us,0,37.12,-79.39,710
