id,name,state,country,level,population,latitude,longitude,wiki
7796,Mansfield,TX,,city-us,74368,32.57,-97.12,9299
7793,Mansfield,OH,,city-us,47669,40.76,-82.52,39411
7781,Mansfield,CT,,city-us,26357,41.79,-72.23,10216
7785,Mansfield,MA,,city-us,23823,42.02,-71.22,10562
7790,Mansfield,NJ,,city-us,8879,40.09,-74.71,15568
7791,Mansfield,NJ,,city-us,7811,40.81,-74.91,10866
7784,Mansfield,LA,,city-us,4529,32.04,-93.70,3412
7794,Mansfield,PA,,city-us,2840,41.81,-77.08,3391
7788,Mansfield,MO,,city-us,1227,37.11,-92.58,4810
7780,Mansfield,AR,,city-us,1057,35.06,-94.23,2657
7783,Mansfield,IL,,city-us,932,40.21,-88.51,2579
7792,Mansfield,NY,,city-us,843,42.30,-78.77,5049
7801,Mansfield,TN,,city-us,766,36.18,-88.29,108
7782,Mansfield,GA,,city-us,453,33.52,-83.73,1926
7797,Mansfield,WA,,city-us,330,47.81,-119.64,5849
7786,Mansfield,MI,,city-us,233,46.21,-88.15,2201
7795,Mansfield,SD,,city-us,102,45.25,-98.56,728
7800,Mansfield,SD,,city-us,86,45.24,-98.56,728
7789,Mansfield,ND,,city-us,27,46.86,-98.39,133
7787,Mansfield,MN,,city-us,0,43.57,-93.61,108
7798,Mansfield,IN,,city-us,0,39.68,-87.10,983
7799,Mansfield,KS,,city-us,0,37.92,-100.77,171
7802,Mansfield,WV,,city-us,0,39.15,-80.05,91
