id,name,state,county,country,level,population,latitude,longitude,wiki
17714,Panama,,,,country,4404108,8.538,-80.782,63059
17711,Panama,OK,Le Flore County,,city-us,1285,35.167,-94.672,3565
17709,Panama,NY,Chautauqua County,,city-us,461,42.075,-79.483,3441
17708,Panama,IL,Bond County,,city-us,338,39.029,-89.524,2389
17710,Panama,NE,Lancaster County,,city-us,233,40.598,-96.511,4105
17712,Panama,IA,Shelby County,,city-us,233,41.726,-95.472,3328
17713,Panama,MO,Vernon County,,city-us,0,38.047,-94.355,517
