id,name,state,country,level,population,latitude,longitude,wiki
16162,Bethany,OR,,city-us,20646,45.55,-122.84,2285
16161,Bethany,OK,,city-us,20514,35.52,-97.63,7705
16154,Bethany,CT,,city-us,5288,41.42,-72.99,6336
16159,Bethany,MO,,city-us,3302,40.25,-94.04,157
16160,Bethany,NY,,city-us,1765,42.92,-78.13,2897
16158,Bethany,MI,,city-us,1750,43.43,-84.54,2363
16155,Bethany,IL,,city-us,1252,39.65,-88.74,2769
16164,Bethany,WV,,city-us,749,40.21,-80.56,3867
16163,Bethany,PA,,city-us,241,41.61,-75.28,1932
16157,Bethany,KS,,city-us,149,39.52,-98.66,0
16156,Bethany,IN,,city-us,95,39.53,-86.38,2767
16165,Bethany,FL,,city-us,0,27.47,-82.26,999
16166,Bethany,GA,,city-us,0,31.27,-84.15,2651
16167,Bethany,IN,,city-us,0,39.17,-86.07,495
16168,Bethany,IN,,city-us,0,39.85,-87.15,335
16169,Bethany,KY,,city-us,0,37.65,-83.47,329
16170,Bethany,LA,,city-us,0,32.37,-94.04,461
16171,Bethany,MN,,city-us,0,44.02,-91.91,602
16172,Bethany,OH,,city-us,0,39.38,-84.37,603
16173,Bethany,SC,,city-us,0,35.12,-81.31,277
16174,Bethany,TX,,city-us,0,32.37,-94.04,461
