id,name,state,county,country,level,population,latitude,longitude,wiki
17016,Glenn,MI,Allegan County,,city-us,2574,42.542,-86.199,3260
16907,Glen,NY,Montgomery County,,city-us,2533,42.901,-74.351,4143
16901,Glen,MS,Alcorn County,,city-us,376,34.858,-88.418,3008
17019,Glenn,GA,Heard County,,city-us,101,33.154,-85.203,869
16905,Glen,SD,Edmunds County,,city-us,49,45.476,-99.387,0
16902,Glen,MT,Beaverhead County,,city-us,28,45.477,-112.691,548
16906,Glen,ND,LaMoure County,,city-us,18,46.584,-98.952,0
16900,Glen,MN,Aitkin County,,city-us,0,46.419,-93.515,793
16903,Glen,NH,Carroll County,,city-us,0,44.111,-71.180,803
16904,Glen,WV,Clay County,,city-us,0,38.394,-81.243,160
16908,Glen,NE,Sioux County,,city-us,0,42.608,-103.584,237
17017,Glenn,OK,Carter County,,city-us,0,34.318,-97.196,116
17018,Glenn,CA,Glenn County,,city-us,0,39.522,-122.014,1959
17020,Glenn,IL,Jackson County,,city-us,0,37.804,-89.581,269
17021,Glenn,MO,Ripley County,,city-us,0,36.530,-90.684,334
