id,name,state,county,country,level,population,latitude,longitude,wiki
17401,Northfield,MN,Dakota County,,city-us,20729,44.453,-93.176,15490
5356,Northfield,MI,Washtenaw County,,city-us,8514,42.401,-83.743,4575
17400,Northfield,NJ,Atlantic County,,city-us,8428,39.370,-74.550,13434
17408,Northfield,VT,Washington County,,city-us,6291,44.148,-72.691,4424
17405,Northfield,NH,Merrimack County,,city-us,4955,43.402,-71.555,8957
17406,Northfield,OH,Summit County,,city-us,3522,41.345,-81.528,5097
17404,Northfield,KY,Jefferson County,,city-us,995,38.287,-85.641,2783
17402,Northfield,MA,Franklin County,,city-us,900,42.696,-72.453,12459
17403,Northfield,WI,Jackson County,,city-us,586,44.459,-91.100,2612
17407,Northfield,ME,Washington County,,city-us,181,44.820,-67.615,2783
